City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Honey Grove,31667,Texas,5.4,6.1,6.5,6.1,12.8,5.4,8.8,15.6,9.3,10.4,9.2,5.6,5.1,1991
New Boston,31655,Texas,9.4,5.4,5.8,5.4,6.3,3.5,14.6,12.4,16.1,11.6,7.2,4.6,3.1,4773
Cesar Chavez,31597,Texas,11.6,11.9,9.8,11.9,5.7,2.4,10.7,16.7,9.1,7.5,7.8,6.5,0.5,1764
Hubbard,31597,Texas,8.3,8.9,8.9,8.9,5.2,3.9,10.7,12.0,9.8,14.5,9.7,5.8,2.5,1592
Menard,31587,Texas,5.3,7.4,13.8,7.4,4.5,3.7,10.3,9.6,15.2,11.0,10.7,5.3,3.2,1586
Como,31471,Texas,5.3,12.4,11.4,12.4,9.8,9.6,6.8,12.6,10.6,3.3,12.4,4.7,1.2,667
Nacogdoches,31442,Texas,7.5,5.5,5.5,5.5,13.8,19.5,12.7,8.8,9.0,7.4,5.1,3.4,1.9,33589
Robstown,31435,Texas,9.2,8.1,7.2,8.1,6.8,9.9,8.6,11.8,14.1,10.5,7.0,5.5,1.3,11599
Ranger,31411,Texas,10.2,11.6,3.9,11.6,10.1,9.5,15.9,5.5,10.2,9.3,7.5,5.1,1.3,2921
Ranchos Penitas West,31333,Texas,11.0,7.8,5.5,7.8,18.8,9.2,7.0,6.4,14.5,6.9,3.9,2.1,6.9,910
Oak Trail Shores,31296,Texas,5.9,12.0,5.3,12.0,5.7,4.4,17.1,8.1,17.7,13.8,6.2,2.3,1.4,3064
Cleveland,31277,Texas,7.7,9.2,4.8,9.2,8.5,8.5,15.5,11.9,14.4,9.6,5.9,3.2,0.9,7684
Browndell,31250,Texas,9.5,4.8,3.0,4.8,3.0,6.6,7.7,8.9,16.7,6.0,26.2,6.0,1.8,168
Dawson,31250,Texas,6.2,10.2,5.7,10.2,5.7,6.3,12.1,6.0,19.8,10.6,10.5,3.1,3.8,874
Easton,31250,Texas,0.9,4.7,9.4,4.7,12.4,3.4,10.5,20.9,11.1,13.9,5.3,5.1,2.4,468
Wickett,31250,Texas,15.4,8.3,2.8,8.3,3.5,2.8,18.9,6.1,11.6,8.3,13.1,5.0,4.3,397
Cisco,31188,Texas,6.6,2.7,6.9,2.7,12.3,11.7,9.3,7.8,11.2,13.6,10.5,6.2,1.3,3846
Robert Lee,31159,Texas,5.8,8.9,5.2,8.9,1.4,3.4,16.7,4.1,14.9,13.9,15.3,7.8,2.6,1106
Industry,31071,Texas,4.3,3.9,2.4,3.9,15.8,3.9,2.8,11.8,12.2,9.8,10.2,16.5,6.3,254
Seymour,31042,Texas,6.2,4.7,8.5,4.7,7.6,3.4,9.0,12.7,11.7,11.6,11.0,9.6,4.1,2521
Comanche,31028,Texas,8.0,5.8,8.0,5.8,8.7,5.8,8.0,13.1,12.4,11.5,10.3,5.7,2.8,4269
Jacksonville,30996,Texas,10.2,8.1,8.5,8.1,8.2,9.7,11.5,10.8,11.4,9.4,5.7,4.6,1.8,14654
Newton,30954,Texas,7.0,5.8,6.4,5.8,6.6,9.1,16.3,10.9,12.7,8.4,9.6,4.4,3.0,2332
Pelican Bay,30833,Texas,12.8,9.8,8.9,9.8,5.7,6.8,15.2,11.5,13.5,9.0,4.6,2.2,0.2,1908
Barrett,30819,Texas,7.6,7.0,6.6,7.0,11.3,2.0,12.2,14.3,14.2,11.4,7.3,5.4,0.8,4282
Hillsboro,30780,Texas,9.2,8.7,7.4,8.7,9.3,10.6,12.6,11.0,10.1,6.7,7.2,4.6,2.7,8394
Elkhart,30764,Texas,5.7,9.0,8.8,9.0,10.1,3.9,14.1,11.2,11.0,8.3,7.7,6.5,3.7,1475
Bryson,30750,Texas,13.7,1.8,10.0,1.8,12.8,4.6,10.0,16.2,9.5,10.4,8.4,1.8,0.9,549
Taft Southwest,30729,Texas,10.3,13.5,8.7,13.5,3.9,6.6,9.8,11.6,9.7,8.9,9.3,7.0,0.8,1373
Latexo,30682,Texas,7.1,12.0,11.0,12.0,8.1,0.3,13.0,19.2,12.0,5.2,6.8,3.9,1.3,308
San Felipe,30673,Texas,2.8,3.1,3.5,3.1,6.0,4.1,15.8,9.6,12.6,29.8,5.6,3.7,3.5,739
Mercedes,30644,Texas,9.1,13.8,9.0,13.8,8.2,5.4,13.2,10.0,9.2,9.0,8.4,3.7,1.2,16271
Sanford,30625,Texas,4.7,0.8,12.5,0.8,2.3,7.8,9.4,4.7,20.3,6.3,18.8,9.4,3.1,128
Hamilton,30556,Texas,6.9,4.7,5.0,4.7,4.4,4.6,11.5,7.1,15.0,13.9,12.3,9.8,4.8,3018
Anthony,30541,Texas,6.2,6.9,7.5,6.9,6.4,5.0,19.3,18.6,13.8,9.6,4.7,1.7,0.4,5218
Jacinto City,30484,Texas,9.1,10.0,8.2,10.0,7.6,5.6,16.8,10.6,11.3,11.8,4.9,3.1,1.2,10717
Llano Grande,30455,Texas,3.5,11.5,7.7,11.5,6.8,7.8,13.6,10.5,10.0,12.8,8.3,6.2,1.3,2938
Naples,30455,Texas,5.3,4.8,4.7,4.8,10.5,5.6,15.7,6.4,12.4,15.7,9.8,6.9,2.1,1368
Llano,30438,Texas,2.1,6.5,5.8,6.5,5.9,3.0,10.9,7.5,17.0,11.5,14.3,9.5,6.2,3300
Socorro,30416,Texas,7.3,9.0,9.7,9.0,9.4,7.4,11.4,13.8,12.6,10.4,6.0,2.2,0.9,32623
