City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Piney Point Village,250001,Texas,2.9,4.6,9.4,4.6,7.5,4.6,2.8,7.6,18.4,21.1,11.8,6.4,3.0,3228
Westlake,250001,Texas,6.8,5.1,15.0,5.1,10.8,3.0,2.3,13.9,22.5,12.0,6.1,1.7,0.8,1171
Bunker Hill Village,243889,Texas,3.2,9.5,9.9,9.5,9.4,0.3,1.6,13.3,19.2,15.6,10.2,5.2,2.5,3777
Hunters Creek Village,242250,Texas,5.9,7.4,9.5,7.4,8.2,3.3,4.9,10.0,22.2,14.7,8.4,3.9,1.6,4545
Hill Country Village,212917,Texas,1.7,4.2,6.0,4.2,8.2,8.6,4.6,8.4,16.3,20.5,12.2,7.3,2.1,874
West University Place,207429,Texas,6.8,8.0,9.3,8.0,6.8,2.0,7.1,14.2,18.4,16.4,8.1,1.9,1.0,15223
Highland Park,192946,Texas,5.6,9.5,9.8,9.5,5.6,1.7,6.3,11.1,17.7,16.3,10.1,4.9,1.6,8796
University Park,176836,Texas,4.9,8.6,10.5,8.6,14.6,9.2,5.0,12.9,17.3,10.0,3.3,2.7,1.0,23761
Hilshire Village,171094,Texas,4.5,8.4,8.3,8.4,3.6,1.2,0.8,13.0,19.8,15.8,14.2,6.1,4.3,606
Spring Valley Village,171026,Texas,11.1,6.6,6.5,6.6,6.3,2.2,8.9,13.2,18.2,15.1,5.3,4.6,2.0,3938
Southlake,170742,Texas,4.6,8.3,13.1,8.3,9.2,2.0,4.5,14.3,23.1,13.5,4.2,1.9,1.3,27755
Bellaire,169663,Texas,7.1,8.2,8.1,8.2,8.1,3.5,6.0,15.0,17.1,15.3,7.0,3.3,1.4,17533
Barton Creek,167560,Texas,3.5,4.0,7.0,4.0,7.1,1.0,7.6,10.2,16.5,12.8,13.9,8.8,7.7,3483
Fulshear,165208,Texas,6.2,10.5,10.6,10.5,8.1,2.4,9.6,17.6,18.7,8.3,6.2,1.4,0.4,2284
Rollingwood,161429,Texas,10.3,6.2,6.6,6.2,6.6,2.8,5.2,11.0,17.3,20.4,5.7,5.3,2.7,1453
West Lake Hills,160574,Texas,3.7,11.3,9.1,11.3,6.3,1.7,2.2,13.2,18.7,20.0,10.2,2.9,0.8,3225
Weston Lakes,155667,Texas,4.3,4.6,4.8,4.6,5.0,2.4,4.7,10.6,18.2,21.5,17.3,5.1,1.6,2544
Volente,153654,Texas,8.2,9.8,6.8,9.8,5.0,0.6,5.5,17.0,19.6,18.6,6.3,2.4,0.3,716
Heath,152379,Texas,4.6,7.7,6.2,7.7,8.7,3.4,5.0,12.7,21.3,14.6,10.7,4.3,0.9,7620
Shavano Park,151779,Texas,2.3,5.6,7.4,5.6,8.8,5.1,3.0,8.8,19.3,20.6,12.6,4.6,1.9,3234
Parker,151420,Texas,5.5,7.7,10.0,7.7,9.7,2.6,5.6,12.0,18.9,12.5,9.5,3.6,2.4,3974
Colleyville,151169,Texas,4.2,7.7,8.5,7.7,8.0,3.5,4.6,12.0,19.4,19.3,8.9,3.3,0.6,23928
Greatwood,145912,Texas,7.8,8.4,11.4,8.4,7.2,2.7,7.9,16.2,15.2,9.4,10.3,2.3,1.3,12657
Lantana,142794,Texas,7.6,9.3,15.0,9.3,4.6,4.0,10.1,24.5,11.4,7.9,4.7,0.7,0.4,8025
The Hills,142125,Texas,4.0,8.8,8.6,8.8,7.0,2.0,4.4,15.1,20.1,11.3,9.3,7.8,1.8,2533
Southside Place,141250,Texas,5.0,9.1,9.0,9.1,9.3,5.2,5.2,14.8,16.7,15.5,6.9,1.5,1.8,1816
Scenic Oaks,136968,Texas,8.2,7.4,8.7,7.4,6.9,4.4,5.9,16.6,17.2,13.6,6.2,3.9,0.9,5456
Garden Ridge,134309,Texas,1.7,7.9,9.9,7.9,4.9,1.7,2.6,9.9,20.6,19.0,17.3,3.7,0.8,3514
Highland Village,133161,Texas,5.7,6.1,9.6,6.1,7.1,3.7,6.0,16.9,19.8,14.2,6.9,3.2,0.9,15589
Double Oak,132955,Texas,7.3,5.6,9.2,5.6,8.2,6.4,5.0,12.3,20.4,13.5,8.3,2.7,0.9,2951
Fair Oaks Ranch,132855,Texas,2.4,6.5,10.3,6.5,6.3,3.7,4.7,10.2,15.5,17.0,17.2,4.9,1.4,6534
Sunset Valley,130982,Texas,7.2,6.3,5.7,6.3,4.6,2.3,10.6,19.4,12.3,17.9,10.5,2.9,0.3,697
Cinco Ranch,130645,Texas,4.6,8.1,10.5,8.1,9.0,3.8,6.2,13.9,21.8,13.3,6.2,2.2,0.4,18028
Sienna Plantation,130300,Texas,7.6,9.2,11.6,9.2,8.9,2.5,9.0,21.8,11.1,11.3,5.3,1.6,0.2,15824
Pinewood Estates,130128,Texas,2.9,10.2,5.0,10.2,13.9,1.1,4.5,13.7,14.6,18.7,8.8,5.6,1.2,1779
Taylor Lake Village,129479,Texas,4.7,8.2,4.2,8.2,9.2,4.2,5.9,8.5,18.5,18.4,10.6,6.7,0.8,3613
Terrell Hills,127589,Texas,6.0,6.7,9.9,6.7,8.0,2.0,5.0,15.5,20.5,13.0,7.9,4.1,1.5,5037
Trophy Club,127391,Texas,6.2,8.4,8.5,8.4,7.1,3.1,7.5,17.5,17.1,13.4,6.8,4.1,0.3,9451
New Territory,123445,Texas,4.6,6.8,10.5,6.8,9.3,6.4,10.7,13.3,21.2,11.0,3.6,1.9,0.8,15640
Flower Mound,121549,Texas,5.5,8.4,10.4,8.4,8.5,4.0,7.9,17.4,20.7,10.8,4.3,1.6,0.5,67630
Murphy,121360,Texas,7.5,10.8,10.0,10.8,8.1,5.2,6.7,21.4,13.5,10.2,5.0,1.4,0.2,19154
Lucas,119968,Texas,4.4,11.0,11.5,11.0,5.0,4.7,7.6,16.0,22.7,7.8,4.9,3.8,0.6,5928
Mclendon-Chisholm,118750,Texas,3.7,11.4,6.8,11.4,7.8,3.6,6.1,13.9,16.5,14.3,11.4,4.3,0.2,1801
Copper Canyon,117273,Texas,3.6,4.2,6.7,4.2,9.4,3.3,7.8,11.1,20.2,18.2,12.9,1.0,1.7,1353
Brazos Country,116667,Texas,3.9,3.5,8.5,3.5,8.4,4.1,5.1,10.7,18.2,20.4,12.6,3.0,1.6,609
Tiki Island,115972,Texas,1.0,1.9,0.7,1.9,2.0,1.9,0.2,6.0,23.3,34.6,19.4,8.2,0.8,896
Dalworthington Gardens,115809,Texas,1.4,5.1,4.5,5.1,9.1,6.1,8.5,8.2,20.4,20.1,10.7,4.9,1.1,2077
Paloma Creek South,115042,Texas,14.9,11.3,5.4,11.3,3.8,5.8,20.4,15.2,9.6,8.2,3.6,0.3,1.7,4221
Helotes,114470,Texas,4.9,7.0,9.3,7.0,8.7,3.3,9.8,12.0,15.2,13.3,10.1,3.2,3.5,7880
Keller,114266,Texas,5.1,8.4,9.9,8.4,7.9,4.3,8.4,15.3,18.6,11.7,6.5,3.1,1.0,41913
Annetta,113594,Texas,3.3,10.5,8.4,10.5,9.8,2.4,3.4,14.3,20.5,12.1,8.6,5.7,1.1,1509
Bartonville,113173,Texas,5.5,7.1,8.7,7.1,7.2,4.3,8.6,12.8,20.3,14.3,5.8,3.9,1.5,1879
Lake Tanglewood,112292,Texas,4.9,3.3,2.2,3.3,4.2,1.8,5.8,8.2,15.8,26.1,19.3,6.1,2.4,721
Frisco,112155,Texas,8.3,10.8,9.2,10.8,6.1,4.0,11.5,22.2,14.1,7.3,4.5,1.7,0.4,130499
Prosper,111641,Texas,9.1,10.9,11.2,10.9,7.3,3.2,8.9,19.1,14.8,10.1,4.3,0.9,0.3,12503
Argyle,111616,Texas,4.1,6.6,8.8,6.6,7.0,3.7,6.4,13.5,24.6,11.8,10.8,2.4,0.4,3449
Shady Shores,111389,Texas,5.5,10.0,6.9,10.0,5.2,2.7,5.3,14.3,17.7,20.1,7.5,2.5,2.2,2729
Olmos Park,111359,Texas,6.9,6.5,8.6,6.5,5.1,2.5,8.0,11.4,18.7,15.1,11.5,5.1,0.7,2023
Coppell,111325,Texas,5.4,8.0,9.0,8.0,8.5,3.8,10.1,16.1,20.6,12.3,4.0,1.6,0.6,40021
Timberwood Park,110725,Texas,8.3,8.3,8.3,8.3,7.7,3.6,11.9,18.5,15.8,10.1,5.6,1.2,0.8,25086
Ransom Canyon,110179,Texas,3.5,9.8,9.8,9.8,3.6,2.8,9.3,12.9,16.3,18.7,8.9,3.8,0.6,1411
Alamo Heights,110086,Texas,6.8,7.3,8.4,7.3,2.6,3.9,10.5,15.3,14.3,14.6,9.3,4.7,2.2,7397
Lakeway,109628,Texas,4.8,6.3,8.0,6.3,8.1,1.8,5.9,15.2,17.8,14.8,10.0,5.1,2.3,12709
The Woodlands,108635,Texas,6.8,8.2,8.3,8.2,7.6,4.2,9.0,15.4,16.7,12.9,6.2,2.8,1.9,102911
Hudson Oaks,106875,Texas,4.3,3.7,6.8,3.7,8.6,3.1,7.1,10.3,21.6,20.7,9.4,3.7,0.8,1952
Shady Hollow,105613,Texas,4.2,5.0,6.8,5.0,7.2,5.6,9.0,10.9,14.9,23.1,8.1,4.3,0.8,4940
Pecan Acres,105547,Texas,4.8,8.5,13.0,8.5,11.2,2.6,5.8,16.5,20.1,9.3,4.8,3.2,0.2,5331
Sugar Land,105400,Texas,5.5,6.4,7.2,6.4,7.4,5.7,10.3,12.8,17.3,15.7,7.2,3.2,1.4,82420
Bear Creek,105000,Texas,2.2,6.7,5.2,6.7,10.2,4.2,4.0,9.9,21.1,25.8,7.7,1.0,2.0,403
Talty,103767,Texas,4.9,11.3,8.3,11.3,6.2,4.3,9.0,19.0,19.1,10.4,5.0,2.0,0.5,1738
Shoreacres,103352,Texas,5.6,8.0,7.9,8.0,10.5,3.9,13.2,10.5,17.7,13.6,5.5,3.2,0.5,1768
Melissa,102591,Texas,10.4,8.5,9.4,8.5,8.4,8.5,9.8,20.9,15.1,6.4,1.4,0.5,0.6,5675
Cross Roads,102500,Texas,4.3,6.0,9.5,6.0,4.3,3.1,4.9,14.0,21.2,19.2,7.7,4.5,1.4,870
Allen,102120,Texas,7.5,8.9,9.5,8.9,7.2,4.6,11.4,19.0,16.6,8.9,4.0,1.8,0.5,89845
Pecan Grove,101131,Texas,5.5,7.0,6.5,7.0,7.4,4.2,14.4,13.9,14.4,17.4,6.7,2.0,0.6,16619
Sunnyvale,100517,Texas,5.3,5.4,6.8,5.4,9.1,4.8,9.3,13.5,15.9,18.1,8.7,2.6,0.5,5480
Brushy Creek,99775,Texas,6.3,8.2,11.7,8.2,8.3,3.8,10.0,18.5,17.7,9.1,3.9,1.9,0.4,22537
Clear Lake Shores,99402,Texas,3.5,5.0,6.5,5.0,3.6,3.4,8.6,13.3,20.6,17.9,14.4,1.9,1.4,1295
Oak Leaf,97917,Texas,3.9,5.8,3.4,5.8,11.5,7.1,9.2,12.3,11.2,19.0,10.2,5.9,0.7,1279
Krugerville,97500,Texas,5.0,9.2,8.6,9.2,6.9,2.1,12.9,17.2,11.8,13.7,8.4,4.0,0.3,1603
Serenada,96490,Texas,2.3,0.7,8.5,0.7,7.9,1.2,4.0,4.7,20.6,21.9,21.4,6.2,0.8,1216
Bee Cave,95924,Texas,6.0,7.9,8.9,7.9,6.8,3.9,9.7,20.5,13.8,12.0,7.0,3.0,0.5,4910
Timbercreek Canyon,95208,Texas,3.4,5.5,5.2,5.5,5.5,0.8,2.1,8.9,17.7,32.3,14.3,3.7,0.8,384
Friendswood,95120,Texas,4.4,6.7,9.2,6.7,8.5,5.1,9.0,12.6,18.0,12.7,8.7,3.6,1.5,37001
Pearland,94653,Texas,8.5,8.6,7.9,8.6,6.2,5.5,14.2,17.3,13.6,9.4,4.7,2.8,1.1,97427
Hudson Bend,94375,Texas,4.4,8.1,7.1,8.1,5.2,2.4,10.4,11.9,22.1,17.4,5.6,3.8,1.7,2878
Mont Belvieu,94022,Texas,6.1,7.3,10.8,7.3,11.5,3.1,6.0,12.9,16.2,17.8,3.4,0.8,4.2,4343
Lakewood Village,93750,Texas,3.6,8.5,7.0,8.5,12.4,2.3,5.7,18.5,16.8,10.8,10.6,2.1,1.6,612
China Grove,92614,Texas,2.0,1.1,5.7,1.1,7.5,10.1,6.0,5.5,23.9,20.6,11.9,4.2,1.7,1152
Sachse,91543,Texas,7.0,7.4,6.6,7.4,7.8,6.2,11.3,18.7,15.3,12.4,4.6,2.1,0.5,21790
Roman Forest,91383,Texas,7.2,6.5,9.4,6.5,8.1,5.1,12.1,11.4,13.0,12.0,11.0,3.6,0.7,2008
Annetta North,91250,Texas,1.2,4.6,6.3,4.6,5.1,3.9,2.9,9.4,16.4,22.4,13.7,13.5,0.7,415
Hays,91023,Texas,4.2,6.6,3.9,6.6,5.4,7.8,9.9,18.5,17.9,13.1,9.9,1.8,1.2,335
League City,90972,Texas,7.4,8.3,7.6,8.3,6.4,5.7,14.7,15.7,15.5,10.6,5.1,2.4,0.8,88979
Taylor Landing,90938,Texas,1.5,3.3,4.0,3.3,7.3,11.6,4.0,3.6,25.8,14.2,7.6,10.9,6.2,275
Oak Ridge North,90417,Texas,4.6,5.9,8.2,5.9,6.4,4.5,8.0,8.8,16.5,15.1,14.5,6.0,1.6,3107
Briaroaks,90170,Texas,2.7,5.8,10.4,5.8,10.2,6.2,4.8,10.5,15.3,12.5,13.9,7.2,0.5,626
Saint Paul,89900,Texas,5.3,11.4,9.5,11.4,4.9,5.2,11.9,13.1,18.7,9.5,7.2,2.5,0.7,1270
Mansfield,89774,Texas,7.2,7.4,10.7,7.4,7.7,4.8,10.5,18.0,15.5,10.0,5.4,2.2,0.6,59757
Fate,89505,Texas,10.8,6.9,9.4,6.9,9.4,1.6,18.8,19.7,9.8,7.7,4.6,0.4,1.0,7643
Bailey Prairie,89028,Texas,4.8,2.7,10.6,2.7,10.2,3.8,3.3,16.3,16.3,18.4,10.6,2.7,0.3,735
Haslet,89000,Texas,3.3,9.3,8.0,9.3,7.5,2.2,6.3,15.6,19.8,16.6,6.5,4.5,0.5,1529
Ovilla,88937,Texas,3.5,10.4,8.5,10.4,4.3,4.5,4.6,9.7,20.2,22.5,7.8,3.6,0.3,3460
Celina,88500,Texas,6.4,11.6,8.9,11.6,5.7,5.0,14.1,19.8,11.8,8.4,5.2,1.9,1.3,6558
Castle Hills,88088,Texas,4.8,6.7,4.5,6.7,3.5,3.8,4.8,12.6,12.9,13.4,11.1,16.7,5.3,4247
Hollywood Park,87857,Texas,6.5,2.7,4.7,2.7,4.3,1.7,4.2,12.7,10.0,16.3,13.5,19.6,3.7,3179
Cibolo,87613,Texas,8.1,8.1,9.4,8.1,10.7,5.6,10.2,19.0,16.1,6.7,4.3,1.4,0.4,22744
Briarcliff,87067,Texas,4.9,6.0,5.2,6.0,5.1,1.8,10.6,12.2,20.2,22.2,9.2,1.9,0.9,1403
Ponder,86917,Texas,6.5,9.3,9.5,9.3,8.7,2.0,12.6,20.2,13.2,11.5,4.2,1.6,0.9,1536
Rockwall,86627,Texas,5.8,9.9,8.5,9.9,6.4,4.9,13.2,15.1,14.6,10.9,6.6,3.5,0.8,39948
Post Oak Bend City,86429,Texas,2.6,6.0,11.1,6.0,7.3,3.1,2.9,9.5,21.5,16.4,13.2,6.1,0.4,923
Potosi,86083,Texas,10.2,10.3,10.2,10.3,6.7,2.9,13.4,10.1,11.7,12.0,8.0,3.8,0.7,3335
Corinth,85170,Texas,9.0,8.3,8.8,8.3,5.3,6.4,13.2,14.7,13.9,12.0,6.4,1.5,0.4,20432
Manvel,85081,Texas,7.6,6.7,5.9,6.7,8.5,5.3,13.9,12.2,15.7,13.4,5.0,3.8,2.1,6159
Pecan Plantation,85000,Texas,1.9,2.8,2.1,2.8,6.3,0.8,4.2,6.7,12.5,16.4,28.7,14.7,2.9,5607
Missouri City,84662,Texas,5.5,6.2,8.5,6.2,8.3,6.0,11.1,13.6,15.3,15.0,7.0,2.7,0.9,69152
Hickory Creek,84412,Texas,6.3,8.9,8.1,8.9,6.2,3.3,11.2,15.6,14.0,17.5,6.9,1.9,0.3,3605
Hackberry,84313,Texas,10.0,6.7,6.9,6.7,11.2,5.8,21.9,13.7,14.5,4.9,3.9,0.4,0.2,1370
Wylie,83594,Texas,8.1,10.0,8.2,10.0,7.7,5.8,12.8,20.0,13.2,8.0,4.1,1.6,0.7,43531
Meadows Place,83578,Texas,3.7,5.7,9.2,5.7,7.1,4.6,7.4,12.6,18.9,12.7,11.4,3.6,3.2,4701
Rowlett,83442,Texas,5.0,6.9,7.8,6.9,10.3,5.8,9.9,15.5,18.0,11.8,5.9,2.2,1.0,57532
Aledo,83409,Texas,8.2,10.2,12.1,10.2,10.2,5.0,8.1,18.9,13.7,6.5,3.4,3.4,0.4,2866
Imperial,83125,Texas,5.6,6.6,5.0,6.6,5.6,3.3,16.2,7.0,7.3,31.8,6.6,4.0,1.0,302
Salado,83050,Texas,6.6,1.9,2.4,1.9,5.4,3.1,6.4,10.3,16.7,15.7,17.8,11.2,2.4,1681
Mckinney,82988,Texas,8.2,9.0,9.2,9.0,7.1,5.2,14.5,17.5,13.4,8.0,4.6,2.4,0.8,144066
Plano,82944,Texas,6.0,6.9,7.5,6.9,7.0,5.2,13.4,14.9,16.6,12.2,6.5,2.7,1.2,271166
Lindsay,82679,Texas,6.2,8.8,8.6,8.8,8.0,3.9,7.9,14.3,16.5,12.8,7.7,3.9,1.5,1095
Atascocita,82361,Texas,6.9,8.8,9.1,8.8,7.4,5.5,15.8,16.0,12.8,10.0,4.9,2.1,0.6,69470
Santa Clara,81875,Texas,6.0,6.0,5.2,6.0,10.6,4.1,6.9,7.1,19.1,14.0,12.3,8.5,0.4,738
Little Elm,81866,Texas,9.6,10.7,9.9,10.7,5.8,3.2,18.0,21.0,11.2,6.0,3.2,1.3,0.2,30213
Cross Timber,81667,Texas,5.8,10.1,2.2,10.1,8.7,2.2,13.0,13.8,12.3,13.0,13.8,4.4,0.7,276
Lakeside City,81250,Texas,4.5,6.4,7.8,6.4,6.0,7.2,7.8,11.7,18.0,15.9,10.5,3.1,1.1,987
Morse,81250,Texas,7.3,14.9,12.1,14.9,5.2,5.7,6.9,17.3,10.9,5.7,10.9,2.8,0.4,248
Oak Grove,80972,Texas,2.5,7.7,4.8,7.7,19.1,2.2,2.2,18.8,10.8,13.2,12.5,5.7,0.7,874
Cove,80938,Texas,7.3,18.3,5.0,18.3,4.6,2.7,16.2,8.9,12.2,11.2,8.7,2.3,2.5,518
New Hope,80735,Texas,6.6,4.0,3.6,4.0,5.8,4.2,19.1,7.9,20.2,15.9,9.4,2.9,0.5,759
San Leanna,80278,Texas,0.6,3.4,3.0,3.4,7.1,7.5,7.1,11.0,18.4,21.4,13.8,4.8,2.1,537
El Lago,80000,Texas,4.4,5.6,10.0,5.6,4.8,2.9,8.0,12.8,21.1,14.2,6.7,6.5,3.0,2755
Beach City,79922,Texas,4.9,5.5,10.4,5.5,8.0,4.5,9.2,12.7,16.5,15.1,9.6,2.4,1.3,2406
Woodway,79797,Texas,3.1,4.5,4.1,4.5,7.1,7.6,8.4,9.2,15.2,16.6,12.6,8.6,3.1,8614
Annetta South,79444,Texas,2.8,6.2,7.6,6.2,3.9,2.1,5.6,9.1,16.6,19.7,14.3,11.2,0.9,537
Cedar Park,79323,Texas,7.8,8.8,8.2,8.8,6.8,5.1,13.9,18.6,13.7,9.1,4.9,2.1,1.0,58088
Justin,79310,Texas,7.6,7.5,5.7,7.5,5.9,5.6,12.3,14.4,18.9,12.6,4.0,3.6,1.9,3314
Seabrook,79308,Texas,6.1,7.6,6.1,7.6,9.5,4.8,14.0,15.1,17.8,12.7,4.2,1.6,0.5,12437
Runaway Bay,79044,Texas,5.8,6.9,4.5,6.9,2.3,1.9,13.2,9.5,17.9,17.2,13.2,6.2,1.6,1653
Point Venture,78906,Texas,1.5,4.7,4.1,4.7,4.2,0.5,6.5,12.5,18.2,26.0,14.3,7.0,0.6,791
Lakeside,78750,Texas,2.5,1.6,5.6,1.6,6.2,3.5,7.9,10.0,17.7,18.9,14.3,9.7,2.1,1418
Hedwig Village,78393,Texas,4.7,7.9,11.7,7.9,6.8,5.2,7.3,17.3,16.1,9.2,5.7,6.1,2.0,2635
Woodloch,78125,Texas,2.0,2.5,11.4,2.5,9.4,3.0,14.4,7.9,21.3,13.9,10.9,2.5,1.0,202
Bevil Oaks,78083,Texas,3.2,4.0,3.2,4.0,7.8,5.1,8.1,9.4,16.3,20.6,13.5,7.3,1.5,1299
Rancho Viejo,77917,Texas,5.8,5.2,8.8,5.2,5.3,2.7,5.6,15.7,14.3,9.8,15.5,9.1,2.3,2440
Bayou Vista,77841,Texas,2.6,2.0,3.6,2.0,1.5,1.5,12.3,8.8,20.4,25.0,16.0,5.2,1.2,1970
Deer Park,77612,Texas,8.0,8.2,7.0,8.2,7.0,6.9,13.5,13.6,12.9,12.8,5.6,3.1,1.4,32965
Wixon Valley,77188,Texas,8.6,2.9,5.7,2.9,6.6,11.5,3.3,17.2,20.9,10.3,9.8,2.9,0.4,244
Bulverde,76886,Texas,7.4,7.5,4.8,7.5,2.7,6.1,7.4,11.9,16.8,19.6,7.6,6.6,1.6,4706
Hillcrest,76875,Texas,1.9,4.8,5.9,4.8,3.6,6.2,7.9,6.4,10.8,22.4,15.1,12.8,2.2,776
Paloma Creek,76337,Texas,11.3,15.1,11.6,15.1,1.5,3.1,25.5,15.4,6.7,6.9,0.6,0.8,1.4,3202
Leander,75983,Texas,8.9,9.0,10.4,9.0,6.8,4.1,15.5,19.4,13.7,6.5,4.1,1.4,0.3,30040
Selma,75949,Texas,8.2,9.0,7.9,9.0,6.9,5.2,18.2,18.4,10.4,10.4,3.7,1.3,0.4,7046
Grapevine,75931,Texas,6.4,7.4,7.1,7.4,5.4,6.1,13.2,14.6,18.4,12.3,5.7,2.4,1.0,48671
Lago Vista,75562,Texas,2.4,4.6,7.4,4.6,6.5,3.3,10.3,12.3,17.6,15.1,12.2,5.5,3.1,6349
Gail,75469,Texas,3.7,5.7,17.6,5.7,7.3,0.7,4.0,17.6,17.6,7.3,10.0,8.0,0.7,301
Hallsville,75409,Texas,5.7,12.6,4.2,12.6,5.9,3.7,15.0,17.0,13.0,10.3,8.4,2.6,1.5,3799
Kennedale,75278,Texas,4.7,6.4,6.5,6.4,8.0,5.7,12.0,14.1,18.2,12.0,8.4,3.7,0.4,7093
Lavon,75268,Texas,11.3,9.4,9.6,9.4,6.4,3.2,19.3,17.1,11.9,7.4,3.3,1.0,0.1,2367
Kyle,75182,Texas,9.9,9.9,9.2,9.9,7.6,5.2,18.3,18.2,11.2,6.5,2.7,1.2,0.3,30664
Windcrest,75129,Texas,2.7,4.7,2.5,4.7,4.8,3.0,10.4,10.3,15.7,12.9,11.2,14.3,7.4,5562
Iowa Colony,75045,Texas,5.7,6.2,6.1,6.2,5.6,8.4,12.5,13.6,15.9,13.1,7.1,4.9,0.9,1399
Shenandoah,74750,Texas,4.8,5.3,5.9,5.3,3.8,4.8,13.0,13.9,10.1,16.8,10.5,8.6,2.5,2397
Morgans Point,74583,Texas,3.8,1.9,8.3,1.9,15.6,4.1,10.5,4.4,16.8,22.5,5.7,4.1,2.2,315
Saginaw,74521,Texas,8.2,8.1,8.9,8.1,8.8,6.7,13.2,15.0,14.5,9.6,6.0,0.9,0.3,20840
Fairview town,74285,Texas,5.3,4.5,5.2,4.5,6.3,3.7,6.6,8.1,13.3,20.9,16.0,8.9,1.3,7882
Pflugerville,74196,Texas,7.2,9.4,7.7,9.4,7.3,4.2,11.9,17.9,15.5,12.1,4.7,1.5,0.7,52138
Inez,73750,Texas,6.6,6.6,8.7,6.6,7.4,6.4,9.0,17.4,16.6,9.8,9.7,1.7,0.2,2260
Stagecoach,73750,Texas,2.7,5.4,8.7,5.4,9.6,1.6,10.3,12.8,20.2,16.1,7.4,4.2,1.1,554
Brookside Village,73125,Texas,3.3,8.4,8.0,8.4,7.5,9.6,10.6,9.1,18.8,15.9,4.4,3.6,0.8,1784
Katy,73006,Texas,7.4,6.2,7.8,6.2,8.1,6.8,11.9,13.3,12.9,12.7,6.6,4.3,1.9,15071
Forney,72681,Texas,10.4,9.2,7.5,9.2,8.7,4.4,16.9,14.9,13.5,7.5,3.9,2.0,1.0,16017
Lake Jackson,72645,Texas,5.7,7.2,7.2,7.2,7.4,6.6,14.4,13.5,14.1,11.4,6.6,4.0,1.8,27224
Schertz,72463,Texas,7.2,7.7,7.7,7.7,6.5,5.9,13.6,12.5,15.1,12.0,7.3,3.6,1.0,35093
Fannett,72281,Texas,5.4,7.1,6.4,7.1,7.3,5.7,7.8,12.2,11.6,24.1,9.1,1.4,1.8,2003
Lake Kiowa,72200,Texas,1.4,1.9,4.2,1.9,2.9,3.9,5.7,6.0,10.3,22.1,27.7,13.0,0.8,2549
Midlothian,72126,Texas,8.2,9.5,8.4,9.5,7.4,4.6,15.9,15.0,13.8,7.5,5.6,3.1,0.9,19590
Grey Forest,71875,Texas,8.0,1.8,10.6,1.8,4.4,1.6,5.4,11.6,11.6,19.8,16.8,6.2,2.0,499
Palm Valley,71591,Texas,4.7,6.0,5.2,6.0,2.4,2.2,9.6,10.3,7.2,13.8,17.3,14.9,6.5,1628
Saint Hedwig,71550,Texas,6.3,2.6,3.5,2.6,6.0,6.9,11.1,10.5,21.1,15.9,8.2,6.0,1.8,1872
Mcqueeney,71512,Texas,7.5,6.1,4.5,6.1,4.2,6.8,10.8,13.0,19.4,13.2,6.7,6.7,1.3,2698
San Patricio,71500,Texas,3.5,3.7,3.9,3.7,4.6,11.0,9.5,13.5,22.6,14.5,8.5,2.9,1.7,517
The Colony,71425,Texas,6.7,7.1,7.6,7.1,6.3,8.6,17.0,15.2,15.1,10.4,3.9,1.8,0.5,38690
Whitehouse,71250,Texas,8.0,11.7,10.9,11.7,8.6,5.2,16.5,14.5,8.6,7.7,5.4,1.8,1.3,7882
Robinson,71215,Texas,4.4,8.1,7.5,8.1,7.4,6.7,13.3,10.3,16.6,11.2,7.5,5.8,1.3,11051
Richardson,70959,Texas,6.0,5.9,6.5,5.9,6.3,8.1,13.8,14.2,14.5,11.5,7.4,4.0,1.8,103752
Round Rock,70952,Texas,8.8,9.0,7.8,9.0,7.3,6.0,15.5,16.9,13.8,8.4,4.3,1.4,0.8,106972
Pattison,70938,Texas,3.9,6.0,5.2,6.0,2.6,5.6,7.3,8.6,20.2,22.4,10.3,6.2,1.7,465
Lakeshore Gardens-Hidden Acres,70524,Texas,5.9,5.7,7.7,5.7,2.3,6.4,13.2,17.4,9.8,7.8,16.0,5.4,2.3,947
Hutto,70519,Texas,8.8,10.9,8.8,10.9,6.3,2.5,23.6,17.8,9.1,6.9,2.7,2.3,0.4,18839
Meadowlakes,70491,Texas,2.7,7.3,8.4,7.3,3.9,1.5,1.9,10.1,9.7,12.1,22.2,16.7,3.6,2050
Hewitt,70300,Texas,5.4,5.3,6.4,5.3,7.7,8.3,14.3,12.3,14.0,14.1,7.9,3.1,1.3,13905
Kemah,70227,Texas,4.6,3.4,10.4,3.4,7.6,5.4,9.5,14.5,20.4,12.1,7.5,2.8,1.8,1845
Grays Prairie,70156,Texas,2.4,7.7,9.7,7.7,5.3,3.0,6.2,13.6,20.9,21.5,6.8,2.7,0.3,339
Cresson,70060,Texas,1.6,7.0,8.2,7.0,3.6,9.1,15.8,9.3,17.6,20.1,4.6,2.3,0.8,733
