City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Rushford,37800,New York,3.9,4.6,5.5,4.6,2.3,10.1,16.6,9.1,15.0,12.4,12.4,5.2,2.9,307
Boonville,37730,New York,3.9,4.5,8.4,4.5,7.1,7.6,7.6,13.3,12.1,11.8,10.2,7.5,6.0,2120
Galeville,37674,New York,4.8,6.6,4.8,6.6,5.9,4.0,10.6,11.0,16.1,10.6,7.7,7.5,10.5,4676
Gouverneur,37443,New York,3.8,5.8,9.3,5.8,6.6,6.0,10.0,15.4,14.7,14.3,6.9,5.1,2.1,3915
Camden,37390,New York,4.7,8.0,7.7,8.0,5.6,6.9,10.7,13.0,11.6,11.8,11.0,5.2,4.0,2398
Franklinville,37386,New York,9.5,6.6,8.7,6.6,6.5,4.9,13.7,13.2,11.8,12.8,5.5,3.6,3.3,1794
Bath,37308,New York,5.0,7.9,4.1,7.9,4.3,6.0,13.8,11.0,13.7,13.0,9.9,6.8,4.6,5747
Riverside CDP,37292,New York,3.3,1.1,2.2,1.1,4.1,11.4,26.2,20.2,15.1,7.2,5.9,2.9,0.4,4995
East Kingston,37188,New York,9.4,11.6,6.9,11.6,2.2,18.8,10.1,6.5,18.8,2.9,5.4,5.4,2.2,277
Amsterdam,36961,New York,6.4,6.2,7.6,6.2,6.6,6.6,13.1,13.8,11.6,12.0,7.5,5.0,3.6,18348
Lincoln Park,36953,New York,6.7,6.3,4.3,6.3,5.5,2.6,15.2,7.6,15.7,11.9,9.5,9.6,5.2,2275
Newark,36922,New York,5.9,5.6,5.5,5.6,7.5,7.3,11.0,12.2,16.5,13.5,8.2,5.2,1.8,9019
Millport,36875,New York,10.8,3.0,9.8,3.0,10.3,8.5,14.8,11.8,13.6,9.1,3.5,3.5,1.3,398
Brocton,36667,New York,7.7,6.4,5.5,6.4,7.0,3.5,12.7,12.1,16.0,13.3,8.4,4.9,2.6,1553
Lackawanna,36640,New York,8.2,5.9,5.7,5.9,5.3,6.9,13.7,10.7,13.2,14.0,7.6,6.4,2.6,18037
Wayland,36591,New York,5.2,5.6,8.1,5.6,6.6,5.2,12.9,12.1,15.6,14.3,7.9,4.3,2.3,1806
Sherburne,36574,New York,10.1,7.0,6.1,7.0,4.2,2.3,10.7,8.5,17.2,14.7,10.7,5.3,3.1,1371
Schoharie,36438,New York,1.5,2.5,3.5,2.5,3.4,4.2,11.9,9.6,16.3,21.5,7.4,8.5,9.7,855
Unadilla,36346,New York,6.7,2.7,7.9,2.7,4.3,8.2,15.4,8.1,12.5,15.4,7.7,5.4,5.7,975
Malone,36194,New York,7.3,8.1,2.9,8.1,4.3,5.3,13.9,13.3,14.1,14.3,7.8,5.3,3.5,5866
Penn Yan,36154,New York,4.4,6.8,8.0,6.8,6.9,4.5,12.5,10.9,12.6,13.0,8.2,8.1,4.1,5011
Fonda,36042,New York,5.4,5.5,7.7,5.5,9.5,7.1,10.7,14.6,20.6,4.6,8.5,4.1,1.7,704
Little Valley,36042,New York,6.7,9.0,9.2,9.0,4.5,8.3,16.5,12.0,12.8,6.5,8.2,5.0,1.3,1203
Croghan,35795,New York,8.8,6.4,5.9,6.4,9.1,3.2,15.8,12.7,11.7,7.8,6.8,7.7,4.1,691
Whitehall,35793,New York,6.7,7.5,5.5,7.5,6.6,5.0,20.1,9.7,9.1,16.2,7.7,4.0,2.0,2791
Norfolk,35694,New York,4.0,5.3,6.4,5.3,10.9,12.4,13.8,8.6,20.2,8.4,3.5,5.7,1.0,1417
Randolph,35652,New York,9.1,6.5,7.9,6.5,4.6,5.3,9.6,10.1,14.1,15.6,7.4,4.7,5.1,1215
Webster,35509,New York,8.5,5.2,6.5,5.2,5.0,9.0,14.1,13.7,9.0,14.0,6.7,3.9,4.3,5528
Herkimer,35408,New York,6.1,4.1,6.0,4.1,8.6,8.1,8.9,12.9,11.4,13.6,9.5,6.3,4.5,7752
Gloversville,35317,New York,6.8,7.0,5.9,7.0,7.6,7.1,13.0,12.0,13.6,11.8,8.4,4.0,2.8,15395
Holley,35238,New York,6.7,5.4,9.4,5.4,8.3,5.6,12.5,16.6,12.2,11.0,6.1,3.9,2.4,2011
Mount Morris,35139,New York,8.5,8.6,8.7,8.6,3.6,5.1,10.6,13.6,15.0,12.0,5.1,5.4,3.8,2610
Parishville,35069,New York,5.9,8.4,3.6,8.4,1.6,11.7,18.5,4.5,4.9,19.6,16.1,4.4,0.7,750
Sidney,35056,New York,6.2,7.7,3.5,7.7,5.4,3.9,12.2,13.5,17.7,13.6,10.0,4.0,2.4,3900
Monsey,35049,New York,17.5,15.3,12.3,15.3,12.3,5.0,11.5,8.1,5.7,6.8,2.6,2.3,0.5,20171
Hermon,35000,New York,6.6,6.1,7.4,6.1,4.8,6.4,18.1,12.7,11.7,8.9,10.7,3.6,3.1,393
Madison,34896,New York,5.0,5.7,4.4,5.7,5.4,6.0,13.0,10.4,19.7,17.1,3.3,9.7,0.3,299
Fulton,34856,New York,7.6,7.5,7.2,7.5,6.8,5.8,15.2,10.3,15.0,12.3,5.7,4.1,2.6,11786
Hudson,34815,New York,7.8,5.7,7.6,5.7,3.5,7.0,13.4,13.8,12.1,16.5,5.7,3.9,3.0,6658
Montour Falls,34803,New York,5.2,6.1,6.7,6.1,4.0,4.1,10.7,8.4,13.4,16.4,11.9,7.8,5.2,1932
Fort Plain,34773,New York,10.7,4.8,3.5,4.8,5.6,6.3,13.3,10.7,11.8,15.0,10.7,4.8,2.8,2027
Hammond,34583,New York,9.6,14.3,6.6,14.3,3.2,4.8,19.6,8.8,11.7,6.4,6.6,5.8,2.7,377
Plattsburgh,34460,New York,3.7,3.7,3.9,3.7,12.9,18.8,13.3,8.7,10.2,10.4,6.3,5.3,3.0,19840
Cobleskill,34414,New York,4.7,3.0,1.7,3.0,21.6,16.4,9.8,6.6,7.3,14.5,6.5,5.7,2.1,4489
Campbell,34156,New York,8.0,5.0,4.6,5.0,8.3,10.2,12.2,6.3,14.3,19.5,3.7,6.6,1.4,763
Pulaski,34145,New York,10.4,7.1,7.1,7.1,6.8,4.6,9.8,11.5,13.5,13.6,8.7,4.3,2.6,2200
Saint Johnsville,34132,New York,6.9,7.5,7.3,7.5,7.1,4.4,12.1,12.0,10.5,12.9,7.3,6.3,5.7,1655
Richfield Springs,34028,New York,3.8,7.5,3.7,7.5,5.8,7.4,13.1,9.8,14.4,16.7,8.9,6.9,2.2,1193
Madrid,33750,New York,11.1,4.9,4.6,4.9,4.2,1.7,11.8,11.3,8.4,13.9,16.6,9.1,2.5,715
East Syracuse,33644,New York,4.5,5.8,7.1,5.8,7.1,12.1,12.8,14.8,13.9,10.9,5.3,3.5,2.2,3051
Geneseo,33366,New York,3.2,2.1,2.3,2.1,30.2,35.8,5.1,5.0,4.1,4.8,3.9,2.2,1.4,8043
Fleischmanns,33295,New York,7.0,9.2,7.6,9.2,9.5,4.9,5.2,17.1,19.2,6.7,5.8,5.8,2.1,328
Hancock,33182,New York,8.1,4.4,3.1,4.4,7.0,7.1,8.5,7.6,12.5,23.3,9.7,6.5,2.3,950
Newburgh,33125,New York,8.9,9.4,9.2,9.4,9.1,9.8,13.8,12.0,11.3,8.3,4.7,2.2,1.4,28614
Port Henry,33077,New York,9.8,8.9,5.2,8.9,1.8,3.6,12.4,15.0,13.2,13.8,8.1,6.7,1.6,1042
Endicott,33070,New York,5.5,4.9,5.4,4.9,5.9,9.4,15.7,10.9,13.1,12.3,7.9,5.6,3.3,13216
Deposit,33063,New York,6.0,5.4,6.2,5.4,7.6,7.2,9.8,12.0,14.7,11.5,9.8,7.5,2.4,1815
Niagara Falls,33009,New York,5.8,5.7,6.2,5.7,6.7,7.6,13.1,11.9,15.2,13.0,7.7,4.7,2.6,49679
Cold Brook,32778,New York,8.4,5.2,7.1,5.2,6.0,8.1,18.0,13.1,15.9,9.1,4.7,3.4,1.0,383
Belfast,32750,New York,6.1,8.8,8.3,8.8,4.9,4.4,18.1,11.0,9.9,9.9,9.9,6.9,1.7,917
Rensselaer Falls,32431,New York,13.3,10.3,5.4,10.3,2.3,9.5,15.6,15.6,8.7,9.5,5.9,3.1,0.8,390
Woodridge,32292,New York,3.4,5.5,7.9,5.5,10.2,7.6,14.4,10.8,14.0,13.1,8.5,2.4,2.1,831
Granville,32188,New York,5.0,6.1,10.6,6.1,3.3,7.6,9.3,10.1,16.5,10.4,9.3,7.7,4.1,2544
Norwich,32121,New York,8.2,6.3,7.3,6.3,5.3,6.6,15.2,11.0,12.3,9.6,9.2,4.6,4.5,7080
Potsdam,31790,New York,1.9,1.9,1.4,1.9,29.8,31.9,7.7,5.9,4.9,7.4,3.5,2.4,1.4,9577
Deruyter,31776,New York,4.3,5.8,7.5,5.8,5.3,8.1,8.3,10.7,15.6,12.8,8.1,6.0,7.5,532
Saint Regis Falls,31761,New York,6.0,4.7,7.8,4.7,2.9,4.7,13.0,7.8,19.5,17.5,6.8,7.6,1.8,384
Wolcott,31735,New York,4.7,6.8,7.7,6.8,8.2,6.7,9.7,14.8,14.1,12.6,9.0,3.8,2.0,1698
Buffalo,31668,New York,6.6,6.2,6.0,6.2,7.7,9.9,16.0,11.6,12.5,11.8,6.0,4.1,1.6,259959
Syracuse,31566,New York,7.1,6.3,5.9,6.3,10.8,11.8,15.5,10.0,11.4,10.3,5.4,3.3,2.2,144648
Port Leyden,31397,New York,9.4,4.1,12.4,4.1,10.5,8.8,6.2,11.5,15.5,11.4,4.8,3.9,1.6,774
East Randolph,31250,New York,14.5,4.5,10.0,4.5,8.9,2.4,15.5,10.5,8.7,6.1,14.0,2.1,2.8,573
Newport,31250,New York,4.3,8.2,11.5,8.2,7.6,10.7,10.4,14.5,7.6,12.5,6.6,4.9,1.2,512
Utica,31173,New York,7.5,6.6,6.6,6.6,8.2,8.5,13.3,10.4,12.6,11.1,7.0,4.7,3.6,61852
Jamestown,31128,New York,6.8,7.1,6.5,7.1,6.9,7.5,13.2,11.4,14.1,11.9,6.8,5.3,2.6,30799
Stannards,31071,New York,4.6,4.2,8.2,4.2,1.3,2.9,14.1,7.9,14.8,23.3,9.4,4.3,5.0,912
Brasher Falls,31058,New York,1.3,14.9,7.4,14.9,2.7,0.5,13.1,12.9,12.0,11.1,5.6,9.8,8.7,449
Altona,30950,New York,2.2,4.7,0.4,4.7,2.6,8.2,24.3,23.6,16.6,5.7,6.6,4.8,0.5,832
Binghamton,30828,New York,5.1,5.5,5.2,5.5,6.4,13.9,12.5,9.9,13.3,12.2,7.4,5.6,3.0,46771
Rochester,30784,New York,7.0,6.7,6.7,6.7,7.5,9.7,17.6,12.2,12.5,10.4,5.7,2.6,1.5,210461
Stamford,30536,New York,5.1,4.1,6.8,4.1,6.4,7.8,7.9,10.1,13.7,12.6,13.7,6.8,5.0,1303
Canaseraga,30469,New York,6.0,11.3,7.9,11.3,7.6,5.2,4.9,16.4,13.4,12.8,5.2,7.6,1.6,671
Ithaca,30318,New York,2.9,2.5,1.8,2.5,21.3,36.5,12.8,6.3,5.0,5.8,1.9,1.8,1.4,30399
