City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Lake Helen,56288,Florida,4.3,5.3,3.0,5.3,4.5,5.4,10.3,15.3,15.8,17.7,10.6,6.7,1.2,2632
Holley,56058,Florida,6.9,5.5,6.0,5.5,4.3,1.7,21.4,13.8,10.0,9.4,15.8,1.8,3.2,1576
Jensen Beach,55912,Florida,3.0,2.4,5.7,2.4,4.6,3.8,7.2,10.4,18.0,16.9,13.4,9.0,5.4,12000
Kathleen,55898,Florida,4.2,8.3,8.1,8.3,6.6,9.4,10.6,11.5,16.1,12.9,6.6,4.3,1.5,6385
North Weeki Wachee,55893,Florida,4.9,4.2,5.8,4.2,5.4,2.4,7.0,9.8,12.0,16.6,18.7,9.5,3.7,8463
Desoto Lakes,55856,Florida,6.2,8.4,4.3,8.4,7.0,6.0,11.1,15.7,7.5,12.0,15.0,5.4,1.5,3624
Flagler Estates,55781,Florida,5.1,5.8,10.3,5.8,9.8,4.0,8.8,14.0,21.0,12.3,6.2,1.4,1.2,2739
Kenneth City,55764,Florida,6.4,3.2,3.3,3.2,6.8,7.3,9.9,12.1,13.4,12.9,10.1,7.6,7.1,4986
Pea Ridge,55703,Florida,6.4,9.0,9.5,9.0,7.2,5.7,14.2,17.0,11.4,11.4,5.6,2.1,0.5,3758
Tangerine,55625,Florida,7.1,8.0,6.7,8.0,3.7,3.5,10.6,11.3,10.9,18.8,11.0,6.1,2.4,2275
Mims,55530,Florida,5.1,5.7,4.0,5.7,5.9,6.2,7.3,9.2,17.5,15.7,13.2,7.5,2.8,6735
Ives Estates,55491,Florida,5.5,5.5,5.2,5.5,6.9,7.9,13.8,14.8,16.5,11.8,7.2,3.6,1.4,19980
Bartow,55476,Florida,9.1,6.7,6.7,6.7,6.8,7.8,12.1,13.5,12.0,10.6,7.7,5.0,2.0,17766
Town N Country,55445,Florida,5.1,6.0,6.1,6.0,5.8,7.2,14.9,15.6,15.1,11.7,7.3,4.0,1.3,82506
Goldenrod,55292,Florida,4.4,6.3,5.2,6.3,8.5,14.3,15.2,11.8,13.4,9.2,5.9,4.4,1.3,12500
Lower Grand Lagoon,55268,Florida,2.9,1.7,2.9,1.7,2.6,12.9,13.4,11.7,16.7,14.0,11.9,7.7,1.8,4181
Crawfordville,55240,Florida,7.9,4.6,8.3,4.6,7.1,10.5,12.6,12.3,14.2,9.2,8.5,3.7,1.2,3790
Hilliard,55156,Florida,8.6,8.5,7.5,8.5,8.8,4.2,13.0,15.6,11.3,9.7,6.7,3.3,2.8,3112
Williamsburg,55118,Florida,2.9,3.7,3.8,3.7,3.8,5.9,12.1,15.7,14.5,16.3,8.8,7.2,5.3,7973
Olga,55000,Florida,4.4,5.4,3.9,5.4,4.8,1.6,13.1,10.7,18.3,22.5,7.2,6.2,1.9,2216
Cape Coral,54796,Florida,5.2,6.4,7.0,6.4,6.1,4.6,10.2,12.4,15.1,14.1,11.1,5.4,2.5,161804
Ferry Pass,54794,Florida,6.1,4.8,5.1,4.8,8.7,11.6,14.3,9.8,12.1,11.5,7.1,5.7,3.3,31204
Alturas,54769,Florida,5.7,4.8,6.5,4.8,5.7,10.5,10.3,11.5,14.3,15.8,9.2,4.2,1.5,3948
Saint Cloud,54700,Florida,8.1,6.3,6.7,6.3,7.1,5.3,14.7,13.0,14.4,10.3,8.2,3.8,2.1,39685
Lake Belvedere Estates,54583,Florida,8.2,12.3,7.7,12.3,5.3,4.0,20.3,14.6,12.8,7.0,2.3,3.8,1.7,3568
Bithlo,54549,Florida,8.5,6.8,6.4,6.8,7.2,7.8,16.1,17.3,13.7,8.6,5.6,1.7,0.4,8486
Port Saint Lucie,54533,Florida,5.9,7.0,6.8,7.0,6.6,5.6,11.4,13.5,14.3,11.9,9.3,5.4,2.3,169260
Miami Beach,54513,Florida,5.4,4.2,3.7,4.2,3.5,5.4,18.9,17.3,14.8,10.9,7.8,5.6,2.7,90669
Callaway,54509,Florida,6.6,7.8,6.9,7.8,7.9,7.3,11.6,12.3,14.3,10.4,9.7,4.3,1.0,14617
Ruskin,54434,Florida,10.8,9.0,7.7,9.0,6.3,4.5,17.4,13.5,13.0,9.0,6.3,2.3,0.2,18846
Willow Oak,54306,Florida,9.9,10.0,4.3,10.0,8.1,11.7,19.6,11.1,8.2,10.7,4.8,0.8,0.8,5127
Midway,54080,Florida,7.8,8.6,7.0,8.6,7.8,8.5,15.1,16.8,12.9,9.8,3.8,1.6,0.3,3200
Pine Ridge,53966,Florida,2.6,1.9,4.7,1.9,4.4,2.1,2.4,8.8,10.9,17.7,26.4,13.1,4.9,9569
Rotonda,53926,Florida,1.6,0.8,5.9,0.8,3.0,1.3,6.3,3.5,8.7,18.9,30.6,16.2,3.2,8616
Saint Augustine Shores,53884,Florida,2.7,6.5,5.7,6.5,3.1,3.9,6.1,12.6,12.3,15.5,17.5,7.1,6.9,7824
Stuart,53801,Florida,3.9,3.3,3.9,3.3,5.8,6.6,11.9,12.1,12.9,13.5,12.7,7.3,6.1,15850
Fairview Shores,53775,Florida,9.6,3.6,5.1,3.6,3.5,8.4,16.9,14.1,12.3,13.5,7.1,4.7,1.3,10457
Tampa,53765,Florida,6.4,6.3,5.9,6.3,7.5,8.1,16.2,13.5,14.1,10.8,6.1,3.7,1.5,348934
Port Salerno,53750,Florida,6.1,4.2,4.6,4.2,6.1,5.0,10.9,10.5,13.6,14.7,11.4,8.2,4.5,10070
Cape Canaveral,53726,Florida,2.5,2.5,1.7,2.5,2.8,3.7,7.2,12.5,14.7,21.9,17.2,10.1,3.3,9960
Gainesville,53725,Florida,4.3,3.3,2.9,3.3,11.9,27.3,16.6,8.5,7.8,9.1,4.3,2.8,1.3,126465
Bellair-Meadowbrook Terrace,53541,Florida,7.0,4.4,3.8,4.4,8.3,9.3,15.2,14.2,12.3,10.8,8.5,5.0,1.2,13578
South Venice,53418,Florida,4.1,3.2,4.2,3.2,6.3,3.7,8.3,10.7,16.4,16.3,14.0,9.0,3.8,14637
Kendale Lakes,53324,Florida,4.2,4.8,5.1,4.8,6.3,7.1,14.0,13.9,15.7,12.8,9.0,4.9,2.2,58767
Palm Coast,53245,Florida,4.8,5.6,6.3,5.6,5.9,4.9,9.1,11.6,12.0,14.3,15.0,7.2,3.4,77779
Margate,53103,Florida,5.4,5.4,5.0,5.4,5.1,6.2,13.1,13.0,15.1,12.9,10.0,5.8,3.0,54929
West Deland,53099,Florida,4.4,9.1,5.6,9.1,7.4,6.3,11.7,8.8,12.4,20.1,8.2,4.5,1.6,3820
Sebastian,53051,Florida,4.4,6.1,5.0,6.1,6.9,2.1,7.1,9.9,15.4,15.0,14.0,10.5,3.6,22485
Lockhart,53013,Florida,7.2,7.2,8.2,7.2,5.0,8.5,18.8,11.4,14.3,11.0,5.6,2.1,0.8,14489
Jan-Phyl Village,52976,Florida,8.9,9.1,8.9,9.1,7.0,6.1,11.2,12.1,11.0,11.7,9.0,4.7,0.3,5161
Tamarac,52918,Florida,4.2,4.0,5.5,4.0,5.3,4.1,11.9,12.6,12.5,13.4,11.7,8.7,6.1,62478
Eustis,52796,Florida,6.1,6.4,5.7,6.4,6.1,5.3,11.1,12.5,11.6,12.8,9.3,8.7,4.6,18920
Ridge Manor,52792,Florida,3.4,6.1,6.4,6.1,4.7,5.5,7.7,11.3,14.6,17.6,12.0,7.8,2.9,4649
Holden Heights,52750,Florida,6.6,5.6,3.4,5.6,1.7,6.1,18.4,16.1,12.0,13.8,6.6,5.7,4.2,4107
Englewood,52698,Florida,1.5,2.7,2.2,2.7,2.3,2.1,4.3,6.5,10.4,17.6,23.8,20.3,6.2,14366
Coral Terrace,52659,Florida,5.1,5.1,5.2,5.1,4.3,7.3,11.4,14.0,13.7,12.7,11.7,5.6,4.0,25318
Marathon,52639,Florida,5.9,4.5,5.5,4.5,6.3,10.0,10.3,12.5,11.4,17.6,10.7,4.7,0.6,8529
Gulf Gate Estates,52560,Florida,4.8,4.4,4.0,4.4,3.4,6.4,8.3,10.2,14.8,13.2,13.7,8.9,8.0,10946
Melbourne,52556,Florida,5.4,4.1,4.7,4.1,5.6,7.6,12.7,9.7,15.3,13.5,10.5,7.8,3.0,77216
Laurel Hill,52431,Florida,12.8,2.1,3.3,2.1,7.8,5.0,13.3,7.3,18.0,14.9,7.4,7.8,0.5,579
Lake Panasoffkee,52406,Florida,3.5,5.6,1.5,5.6,3.2,5.1,7.7,6.1,13.8,18.6,16.9,13.4,4.7,3409
Four Corners,52370,Florida,6.1,6.0,7.1,6.0,6.0,7.2,16.5,13.8,13.1,11.6,8.1,3.5,1.1,32154
Ensley,52334,Florida,6.9,6.8,5.9,6.8,4.3,7.6,15.8,9.3,13.1,14.3,10.2,4.0,1.9,20784
Crystal River,52208,Florida,7.5,2.6,7.2,2.6,9.7,1.8,5.9,6.5,8.6,18.8,8.3,15.8,7.4,3072
West Palm Beach,52185,Florida,5.9,5.9,4.7,5.9,5.5,7.0,15.8,12.3,13.0,12.5,9.2,5.2,2.9,102283
North Fort Myers,52156,Florida,2.0,1.8,2.8,1.8,3.1,3.5,4.7,7.1,12.0,16.2,25.1,16.6,5.2,39143
Florida Ridge,52151,Florida,6.0,4.0,6.7,4.0,4.6,7.8,9.2,11.8,11.8,14.5,11.8,8.6,3.2,18056
Pinellas Park,52127,Florida,5.7,4.1,5.0,4.1,5.2,5.9,12.6,12.5,14.8,14.4,11.0,6.1,2.7,49874
Edgewater,52114,Florida,4.3,3.1,4.9,3.1,5.3,5.8,10.0,10.9,14.6,17.2,13.4,7.6,3.1,20879
