City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Cass City,53201,Michigan,6.1,5.2,8.0,5.2,6.3,6.0,12.6,12.2,12.0,11.7,7.5,8.7,3.8,2592
Lawton,53173,Michigan,3.1,7.5,8.3,7.5,9.8,4.4,12.8,11.3,15.6,12.6,6.4,3.2,5.1,1698
Attica,53125,Michigan,5.1,5.9,6.8,5.9,12.3,6.4,7.7,13.2,13.3,11.6,10.1,6.5,1.2,782
Lowell,53125,Michigan,7.4,8.0,5.2,8.0,7.8,2.8,15.7,9.4,11.5,14.5,8.5,4.3,4.7,3838
Athens,53000,Michigan,4.2,7.1,9.2,7.1,7.3,6.3,13.8,10.9,16.1,13.0,4.8,5.0,2.5,1071
Dearborn Heights,52924,Michigan,7.0,7.2,6.4,7.2,6.3,6.4,12.7,12.6,13.3,12.7,7.2,5.7,2.6,57063
Oak Park,52904,Michigan,6.1,6.5,7.1,6.5,7.1,7.9,12.7,14.4,13.1,11.5,6.9,4.5,2.0,29622
Marine City,52857,Michigan,6.4,5.1,6.2,5.1,6.8,4.6,11.5,12.7,19.2,12.2,7.3,5.5,2.6,4193
Clarksville,52813,Michigan,9.1,5.8,5.0,5.8,3.8,8.6,20.7,8.3,9.8,8.1,12.1,3.3,5.5,397
Levering,52778,Michigan,0.8,8.2,8.2,8.2,8.6,5.9,12.9,8.6,29.8,11.0,2.4,2.4,1.2,255
Webberville,52778,Michigan,5.1,6.7,5.3,6.7,7.0,4.0,15.8,12.1,16.3,18.0,6.5,3.2,0.3,1186
Laingsburg,52734,Michigan,6.7,5.5,8.9,5.5,12.5,4.0,12.0,16.5,9.6,14.7,4.8,3.0,1.8,1283
Warren,52656,Michigan,6.2,6.3,6.3,6.3,6.7,7.0,12.5,12.7,14.7,11.9,7.4,5.5,2.8,134398
Bellevue,52583,Michigan,5.3,6.3,4.8,6.3,7.3,6.7,12.1,12.7,15.2,13.3,9.1,5.7,1.5,1304
Eagle,52417,Michigan,4.8,8.2,3.4,8.2,13.6,3.4,12.2,19.1,19.7,4.8,8.2,1.4,1.4,147
Cutlerville,52414,Michigan,7.3,7.1,5.1,7.1,7.9,6.4,14.2,13.1,14.5,10.7,8.0,3.9,2.0,14533
Charlotte,52405,Michigan,6.4,4.9,6.3,4.9,6.6,5.8,15.5,12.6,12.1,11.4,9.3,5.8,3.5,9053
Detroit Beach,52321,Michigan,7.1,6.2,7.3,6.2,8.2,3.8,13.0,18.2,19.7,6.0,9.2,0.7,0.8,2209
Burton,52271,Michigan,5.3,5.5,7.3,5.5,6.4,7.0,11.7,12.7,16.8,13.3,7.4,5.1,1.7,29429
Yale,52250,Michigan,5.3,5.6,6.5,5.6,8.4,6.4,11.0,9.5,16.5,12.4,9.4,5.9,3.2,1843
Sparta,52237,Michigan,6.5,7.1,9.3,7.1,6.4,4.5,16.0,13.4,15.7,8.6,4.6,4.6,3.4,4199
Kingsford,52163,Michigan,5.3,3.8,7.0,3.8,7.1,3.3,7.9,12.2,17.9,14.6,9.4,7.1,4.4,5115
New Lothrop,52083,Michigan,4.4,4.4,6.5,4.4,5.9,10.5,9.7,11.6,12.8,12.6,10.3,7.1,4.2,476
Stockbridge,52008,Michigan,5.9,6.5,5.1,6.5,6.1,5.2,11.6,9.4,17.1,14.3,11.2,5.7,2.0,1111
Norway,51982,Michigan,3.3,3.3,6.1,3.3,5.5,9.8,8.3,10.9,16.2,14.1,13.4,4.7,4.4,2843
Berrien Springs,51964,Michigan,5.7,7.0,5.2,7.0,4.8,8.2,12.3,10.2,15.3,11.9,11.3,4.0,4.0,1338
Fremont,51861,Michigan,4.8,7.5,5.7,7.5,8.2,7.7,9.1,12.6,11.6,12.7,10.9,7.2,2.0,4065
Mount Pleasant,51859,Michigan,3.4,3.8,2.4,3.8,22.1,30.2,11.9,5.7,6.8,6.4,3.7,2.2,1.5,26095
Fenton,51761,Michigan,6.5,7.1,6.4,7.1,6.8,9.0,12.4,13.2,13.4,10.3,6.4,5.8,2.8,11601
New Buffalo,51750,Michigan,5.5,5.4,5.3,5.4,4.0,5.3,10.7,12.3,14.1,16.6,11.4,7.3,2.1,1890
Peck,51750,Michigan,5.2,8.4,7.3,8.4,6.8,8.9,9.2,15.1,11.9,11.2,9.1,5.6,1.3,750
Marshall,51654,Michigan,5.3,4.5,6.5,4.5,4.1,5.7,15.3,12.8,13.7,12.6,9.1,6.6,3.7,7054
Frankfort,51563,Michigan,5.1,8.0,4.5,8.0,3.2,3.9,13.1,7.3,8.3,16.0,13.1,10.9,6.8,1417
Saint Johns,51371,Michigan,6.0,7.0,7.0,7.0,7.0,4.5,14.3,10.3,13.8,12.3,8.5,6.5,2.7,7933
Holland,51254,Michigan,8.3,6.1,6.1,6.1,12.0,10.9,13.8,10.3,11.0,8.8,4.6,5.3,2.8,33342
East Tawas,51250,Michigan,7.9,3.1,3.9,3.1,5.7,5.9,4.4,11.6,11.3,19.7,13.6,8.6,4.4,2773
South Range,51111,Michigan,8.9,9.3,3.0,9.3,5.9,10.8,15.0,7.9,11.3,12.5,8.7,3.2,3.6,761
Concord,51058,Michigan,8.5,10.9,4.7,10.9,4.4,8.5,9.6,8.9,16.8,11.0,11.0,4.8,0.8,1124
Gaylord,50732,Michigan,5.5,7.3,5.0,7.3,4.1,5.5,15.6,8.2,14.8,14.4,9.1,4.1,6.6,3651
Romulus,50721,Michigan,6.8,7.7,7.2,7.7,7.7,6.4,13.2,13.7,14.2,12.3,6.5,3.4,1.1,23721
Iron Mountain,50719,Michigan,7.0,6.5,7.5,6.5,4.6,4.6,16.2,10.6,13.3,12.7,7.1,6.2,3.8,7593
Lake Odessa,50703,Michigan,5.5,6.5,3.2,6.5,8.5,4.2,18.3,12.2,16.2,12.0,4.5,4.0,5.0,1949
Sebewaing,50556,Michigan,4.0,2.6,4.9,2.6,5.0,5.7,10.2,9.7,14.0,21.0,9.0,9.4,4.7,1654
Barnes Lake-Millers Lake,50433,Michigan,3.7,13.4,17.3,13.4,3.1,1.6,8.6,9.3,7.6,10.6,14.6,6.4,3.8,932
Belding,50430,Michigan,6.0,7.3,9.3,7.3,7.8,6.3,11.6,14.0,14.9,9.5,7.4,4.2,1.8,5764
Canada Creek Ranch,50417,Michigan,2.2,1.8,2.2,1.8,2.9,4.0,4.4,1.8,3.6,18.5,41.7,8.3,8.7,276
Le Roy,50417,Michigan,5.3,1.0,10.2,1.0,8.9,9.2,9.2,10.5,18.4,15.1,4.9,3.9,3.6,305
Baroda,50417,Michigan,6.0,4.1,7.4,4.1,3.2,5.7,15.7,12.4,17.6,15.8,6.9,4.5,0.9,824
Zeeland,50403,Michigan,7.3,6.3,8.2,6.3,5.3,7.1,10.3,12.1,13.5,7.7,8.3,5.9,8.1,5566
Parma,50357,Michigan,5.7,8.7,12.6,8.7,11.8,2.5,12.0,11.8,19.6,8.5,4.4,1.9,0.4,989
Ishpeming,50294,Michigan,9.9,4.9,6.3,4.9,3.4,5.0,13.1,14.1,15.9,13.2,6.7,4.5,3.1,6514
Merrill,50250,Michigan,8.4,6.9,8.2,6.9,7.2,8.4,10.9,12.9,13.7,8.7,5.4,7.5,1.8,723
Lakewood Club,50250,Michigan,6.7,5.1,6.5,5.1,5.0,6.1,16.9,13.2,16.8,13.9,7.3,2.2,0.3,1200
Byron,50208,Michigan,3.1,10.6,12.7,10.6,3.5,6.6,15.8,10.5,12.1,12.3,10.5,2.0,0.4,545
Imlay City,50151,Michigan,5.7,8.1,9.4,8.1,7.3,9.9,10.4,13.9,9.9,12.4,6.0,5.5,1.6,3588
Garden,50139,Michigan,2.9,3.3,2.4,3.3,7.6,1.0,3.8,8.1,15.2,24.3,16.2,7.1,8.1,210
Pigeon,50000,Michigan,9.9,4.7,3.3,4.7,3.7,6.4,13.1,6.7,15.9,9.8,8.9,10.9,6.8,1221
Augusta,49926,Michigan,4.7,7.4,10.2,7.4,4.4,6.4,14.4,12.8,16.7,9.2,8.3,4.8,0.8,870
Central Lake,49821,Michigan,7.2,4.3,8.8,4.3,7.6,6.4,10.7,9.0,16.0,16.1,9.7,3.2,0.9,1063
Capac,49803,Michigan,5.0,10.6,9.5,10.6,9.5,8.9,11.7,12.4,15.8,8.2,4.2,3.3,0.9,2036
Durand,49741,Michigan,4.1,4.1,7.6,4.1,9.6,6.3,7.2,13.6,13.8,12.5,12.2,4.5,4.5,3396
Madison Heights,49706,Michigan,6.3,4.6,4.9,4.6,6.3,6.9,17.1,13.9,13.6,12.5,7.2,4.9,1.8,30028
Hopkins,49688,Michigan,7.5,5.5,13.2,5.5,8.6,5.5,14.1,18.0,6.9,10.2,4.4,4.9,1.2,654
Saranac,49567,Michigan,7.6,15.0,6.7,15.0,5.2,3.4,12.7,13.1,11.6,13.2,5.0,4.2,2.3,1469
Roseville,49530,Michigan,6.2,6.6,6.4,6.6,6.4,6.3,14.0,13.6,15.0,12.4,6.4,4.2,2.6,47408
Ithaca,49393,Michigan,3.2,4.1,7.1,4.1,11.0,6.8,10.2,10.9,18.3,12.3,8.2,5.8,2.2,2875
Gwinn,49388,Michigan,2.9,2.1,4.8,2.1,9.3,5.4,9.3,14.1,17.3,16.0,10.7,4.8,3.5,2063
Fife Lake,49375,Michigan,5.9,4.7,5.6,4.7,1.5,5.6,15.5,10.2,17.8,17.0,10.2,4.7,1.5,342
Caro,49286,Michigan,6.5,4.1,3.6,4.1,6.6,7.6,15.5,9.9,14.4,11.3,9.2,7.8,3.5,4164
Martin,49286,Michigan,13.6,12.2,4.1,12.2,2.2,8.4,12.9,9.6,12.7,11.5,10.1,2.4,0.5,418
Maple Rapids,49265,Michigan,7.3,4.0,5.3,4.0,7.3,7.1,12.3,12.7,16.3,11.3,12.7,3.3,0.3,644
Plainwell,49199,Michigan,5.7,5.2,6.6,5.2,6.1,6.3,12.0,17.3,12.4,12.5,7.6,5.9,2.3,3798
Minden City,49167,Michigan,7.7,9.6,5.7,9.6,10.5,1.9,7.7,14.8,14.8,17.2,4.3,2.9,2.9,209
Eastpointe,49167,Michigan,5.7,7.0,8.4,7.0,8.2,7.0,12.2,14.8,13.4,11.9,6.0,3.4,2.2,32526
Port Sanilac,49167,Michigan,2.6,3.8,3.6,3.8,5.7,7.9,8.1,6.9,14.4,16.0,21.0,5.9,4.2,506
Au Sable,49107,Michigan,4.3,2.6,3.2,2.6,6.3,3.8,14.0,6.0,19.0,14.2,16.5,9.0,1.1,1327
Fair Plain,48942,Michigan,6.2,8.2,7.9,8.2,6.5,4.0,13.7,10.9,13.2,14.3,9.0,4.4,1.6,8043
Battle Creek,48865,Michigan,7.6,7.1,6.7,7.1,7.0,6.4,13.7,12.3,12.9,11.7,7.6,4.4,2.6,51963
Lexington,48750,Michigan,3.5,2.8,6.0,2.8,3.4,5.3,6.1,9.1,10.8,15.5,19.5,13.0,5.2,1067
Sault Sainte Marie,48691,Michigan,6.6,5.9,6.5,5.9,8.2,12.8,11.2,11.3,13.5,11.4,5.6,4.7,2.4,14121
Alanson,48542,Michigan,5.0,3.9,7.5,3.9,5.5,5.8,11.5,14.7,21.4,12.1,6.8,4.8,1.0,585
Carp Lake,48500,Michigan,4.4,5.9,1.5,5.9,4.9,2.7,7.6,8.9,11.2,12.5,34.6,5.5,0.4,474
Bridgeport,48469,Michigan,7.7,4.6,7.5,4.6,3.7,5.2,9.3,12.2,17.1,15.5,9.1,5.8,2.2,6615
White Pine,48438,Michigan,1.0,3.2,2.5,3.2,2.5,1.2,5.5,4.5,15.2,22.9,29.1,11.4,1.0,402
Roosevelt Park,48424,Michigan,4.4,5.5,10.2,5.5,6.2,8.2,10.5,14.0,10.7,12.1,7.8,6.5,3.8,3817
Taylor,48418,Michigan,6.8,7.3,6.2,7.3,6.3,6.9,13.1,12.3,15.4,11.5,8.0,4.7,1.6,62331
Boyne Falls,48409,Michigan,2.8,10.7,6.5,10.7,5.8,5.2,7.6,14.1,18.6,10.3,12.4,4.5,1.7,291
Lyons,48375,Michigan,3.5,4.2,8.8,4.2,8.1,11.7,8.5,10.8,18.7,13.5,7.6,3.9,0.7,943
Grand Rapids,48357,Michigan,7.9,7.1,6.2,7.1,7.2,10.2,17.9,11.6,11.0,9.6,5.1,3.8,2.4,190739
Michigamme,48250,Michigan,5.3,3.8,1.9,3.8,4.2,3.4,10.3,4.2,6.9,26.0,18.3,15.3,0.4,262
Mount Clemens,48244,Michigan,3.6,4.1,6.4,4.1,6.6,6.5,13.2,14.2,16.7,13.8,8.8,4.1,2.2,16345
Comstock Park,48227,Michigan,7.5,6.1,6.7,6.1,7.3,9.4,19.4,11.3,13.1,10.1,4.5,4.0,0.5,10407
Lincoln Park,48133,Michigan,6.8,7.2,6.2,7.2,6.7,6.0,13.7,14.0,14.4,13.4,5.6,4.3,1.7,37648
Gaines,48125,Michigan,4.2,8.0,5.3,8.0,5.0,8.5,15.1,8.5,10.3,16.5,13.8,2.4,2.4,377
Snover,48056,Michigan,7.0,8.1,8.5,8.1,7.2,9.4,11.6,11.6,14.9,6.8,12.0,1.8,1.1,457
Eaton Rapids,48053,Michigan,9.0,7.9,6.4,7.9,8.4,5.6,16.5,10.1,13.6,10.6,6.3,4.0,1.7,5221
Wayne,48024,Michigan,5.3,7.4,7.1,7.4,5.2,6.3,14.5,11.8,14.1,15.0,6.9,4.6,2.0,17314
Melvin,47969,Michigan,9.2,7.7,6.6,7.7,6.6,8.2,14.8,7.1,16.3,12.8,6.1,3.1,1.5,196
Mackinaw City,47841,Michigan,2.9,3.5,3.8,3.5,7.2,8.8,9.7,15.2,15.4,15.0,10.6,4.7,3.2,719
Vassar,47829,Michigan,9.0,6.8,8.0,6.8,12.6,5.2,15.1,10.3,11.1,11.8,5.6,3.0,1.5,2662
Breckenridge,47656,Michigan,5.2,6.9,9.3,6.9,3.7,5.8,15.2,12.4,13.6,12.4,7.9,4.4,3.4,1282
Mayville,47656,Michigan,4.2,7.6,5.1,7.6,7.8,9.4,12.7,15.6,11.5,5.7,9.4,7.3,3.8,926
Owendale,47500,Michigan,10.9,7.6,5.7,7.6,2.3,4.9,14.7,9.1,25.3,5.7,9.1,4.2,0.8,265
Otsego,47480,Michigan,5.1,8.7,6.4,8.7,6.9,3.1,14.0,10.4,15.4,10.7,10.1,4.7,4.4,3961
