Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
KentSU,Kent State University,KentSU,Columbiana,Columbiana,Ohio,40.885556,-80.688333,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Salem,Columbiana,Ohio,40.900833,-80.852778,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Hudson,Summit,Ohio,41.243333,-81.438889,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Lorain,Lorain,Ohio,41.448333,-82.168889,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Medina,Medina,Ohio,41.135833,-81.864167,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Seville,Medina,Ohio,41.015556,-81.864444,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Ulrichsville,Tuscawaras,Ohio,40.395278,-81.349167,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Hubbard,Trumbull,Ohio,41.157222,-80.569167,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Youngstown,Mahoning,Ohio,41.1,-80.65,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KentSU,Kent State University,KentSU,Poland,Mahoning,Ohio,41.024722,-80.612222,0,,,,1,,,1910,1910,1912,,1,,,,1,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Gambier,Knox,Ohio,40.376389,-82.396667,1,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Zanesville,Muskingum,Ohio,39.946111,-82.012222,0,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Worthington,Franklin,Ohio,40.091389,-83.020833,0,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Chillicothe,Ross,Ohio,39.336389,-82.983889,0,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Franklinton,Franklin,Ohio,39.983333,-82.983333,0,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
KenyC,Kenyon College,KenyC,Cincinnati,Hamilton,Ohio,39.1,-84.516667,0,,1,1,,,,1826,1824,1828,,,,,,,,,,,,,,,,,,1
MUOh,Miami University of Ohio,MUOh,Oxford,Butler,Ohio,39.5075,-84.746667,1,,,,,,,1809,1824,,,1,,,,,,,,,,,,,,,,2
MUOh,Miami University of Ohio,MUOh,,Hamilton,Ohio,39.2,-84.54,0,,,,,,,1809,1824,,,1,,,,,,,,,,,,,,,,2
OhSU,Ohio State University,OhSU,Columbus,Franklin,Ohio,39.983333,-82.983333,1,,1,,,,,1870,1870,,,1,1,1,,,,,,,,,,,,,,1
OhSU,Ohio State University,OhSU,Oxford,Butler,Ohio,39.5075,-84.746667,0,1,1,,,,,1870,1870,,,1,1,1,,,,,,,,,,,,,,1
OhSU,Ohio State University,OhSU,College Hill,Hamilton,Ohio,39.2,-84.55,0,1,1,,,,,1870,1870,,,1,1,1,,,,,,,,,,,,,,1
OhSU,Ohio State University,OhSU,Athens,Athens,Ohio,39.329167,-82.096111,0,1,1,,,,,1870,1870,,,1,1,1,,,,,,,,,,,,,,1
WRU,Western Reserve University,WRU,Hudson,Summit,Ohio,41.23984,-81.440784,1,,,1,,,,1826,1826,1827,,,,,,,,,,,,,,,,,,1
WRU,Western Reserve University,WRU,Cleveland,Cuyahoga,Ohio,41.482222,-81.669722,0,,,1,,,,1826,1826,1827,,,,,,,,,,,,,,,,,,1
WRU,Western Reserve University,WRU,Burton,Geauga,Ohio,41.471667,-81.146944,0,,,1,,,,1826,1826,1827,,,,,,,,,,,,,,,,,,1
WilbU,Wilberforce University,WilbU,Wilberforce,Greene,Ohio,39.715833,-83.88,1,,,1,,,,1856,1856,,,,,,,,1,,,,,,,,,,,1
WilbU,Wilberforce University,WilbU,Yellow Springs,Greene,Ohio,39.8,-83.9,0,,,1,,,,1856,1856,,,,,,,,1,,,,,,,,,,,1
WilbU,Wilberforce University,WilbU,Zanesville,Muskingum,Ohio,39.946111,-82.012222,0,,,1,,,,1856,1856,,,,,,,,1,,,,,,,,,,,1
WilbU,Wilberforce University,WilbU,Chillicothe,Ross,Ohio,39.336389,-82.983889,0,,,1,,,,1856,1856,,,,,,,,1,,,,,,,,,,,1
OkSU,Oklahoma State University,OkSU,Stillwater,Payne,Oklahoma,36.116,-97.059,1,,1,,,,,1890,1890,1891,,1,,1,,,,,,1,Land Grant College,,,,,,,1
OkSU,Oklahoma State University,OkSU,Perkins,Payne,Oklahoma,35.976667,-97.031944,0,,1,,,,,1890,1890,1891,,1,,1,,,,,,,,,,,,,,1
OkSU,Oklahoma State University,OkSU,,Canadian,Oklahoma,35.54,-97.98,0,,1,,,,,1890,1890,1891,,1,,1,,,,,,1,Political Kingmaker,,,,,,,1
OkSU,Oklahoma State University,OkSU,Oklahoma City,Oklahoma,Oklahoma,35.482222,-97.535,0,,1,,,,,1890,1890,1891,,1,,1,,,,,,1,Capital,,,,,,,1
UCOk,University of Central Oklahoma,UCOk,Edmond,Oklahoma,Oklahoma,35.65,-97.466667,1,,1,,,,,1890,1890,1891,,1,,,,1,,,,1,Normal School,,,,,,,1
UCOk,University of Central Oklahoma,UCOk,,Canadian,Oklahoma,35.54,-97.98,0,,1,,,,,1890,1890,1891,,1,,,,1,,,,1,Political Kingmaker,,,,,,,1
UCOk,University of Central Oklahoma,UCOk,Oklahoma City,Oklahoma,Oklahoma,35.482222,-97.535,0,,1,,,,,1890,1890,1891,,1,,,,1,,,,1,Capital,,,,,,,1
UOk,University of Oklahoma,UOk,Norman,Cleveland,Oklahoma,35.22,-97.44,1,,1,,,,,1890,1890,1892,,1,1,,,,,,,1,Public University,,,15000,,,,1
UOk,University of Oklahoma,UOk,,Canadian,Oklahoma,35.54,-97.98,0,,1,,,,,1890,1890,1892,,1,1,,,,,,,1,Political Kingmaker,,,,,,,1
UOk,University of Oklahoma,UOk,Oklahoma City,Oklahoma,Oklahoma,35.482222,-97.535,0,,1,,,,,1890,1890,1892,,1,1,,,,,,,1,Capital,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Tulsa,Tulsa,Oklahoma,36.131389,-95.937222,1,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,100000,,,,1
UTulsa,University of Tulsa,UTulsa,Guthrie,Logan,Oklahoma,35.856389,-97.435833,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Wynnewood,Garvin,Oklahoma,34.643889,-97.164722,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Muskogee,Muskogee,Oklahoma,35.7466,-95.368,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Enid,Garfield,Oklahoma,36.400556,-97.880833,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Chickasha,Grady,Oklahoma,35.038333,-97.946111,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,Shawnee,Pottawatomie,Oklahoma,35.3425,-96.933889,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
UTulsa,University of Tulsa,UTulsa,El Reno,Canadian,Oklahoma,35.530278,-97.9575,0,,,,1,,,1907,1894,1907,,,,,,,,,,,,,,,,,,1
OrSU,Oregon State University,OrSU,Corvallis,Benton,Oregon,44.566667,-123.283333,1,1,1,,,,,1868,1868,1870,1872,1,,1,,,,,,1,Land Grant College,,,,1,,,2
OrSU,Oregon State University,OrSU,Salem,Marion,Oregon,44.930833,-123.028889,0,1,1,,,,,1868,1868,1870,1872,1,,1,,,,,,1,Capital,,,,1,,,2
OrSU,Oregon State University,OrSU,Portland,Multnomah,Oregon,45.52,-122.681944,0,,1,,,,,1868,1868,1870,1872,1,,1,,,,,,1,Penitentiary,,,,,,,1
UOr,University of Oregon,UOr,Eugene,Lane,Oregon,44.051944,-123.086667,1,1,,,1,,,1872,1872,1876,1878,1,1,,,,,,,,,,,50000,,,,2
UOr,University of Oregon,UOr,Albany,Linn,Oregon,44.630278,-123.096111,0,1,,,1,,,1872,1872,1876,1878,1,1,,,,,,,,,,,50000,1,,,2
UOr,University of Oregon,UOr,Monmouth,Polk,Oregon,44.849167,-123.23,0,1,,,1,,,1872,1872,1876,1878,1,1,,,,,,,,,,,,1,,,2
UOr,University of Oregon,UOr,Forest Grove,Washington,Oregon,45.519722,-123.110556,0,1,,,1,,,1872,1872,1876,1878,1,1,,,,,,,,,,,,1,,,2
UOr,University of Oregon,UOr,Salem,Marion,Oregon,44.930833,-123.028889,0,1,,,1,,,1872,1872,1876,1878,1,1,,,,,,,,,,,,1,,,1
BuckU,Bucknell University,BuckU,Lewisburg,Union,Pennsylvania,40.963889,-76.888056,1,,,,1,,,1846,1846,1847,,,,,,,,,,,,,,,,,,1
BuckU,Bucknell University,BuckU,Milton,Northumberland,Pennsylvania,41.011944,-76.854167,0,,,,1,,,1846,1846,1847,,,,,,,,,,,,,,,,,,1
DrexU,Drexel University,DrexU,Philadelphia,Philadelphia,Pennsylvania,39.95,-75.166667,1,,,1,,,,1891,1891,1892,,,,,,,,,,,,,,,,,,1
DrexU,Drexel University,DrexU,Wayne,Delaware,Pennsylvania,40.043889,-75.387778,0,,,1,,,,1891,1891,1892,,,,,,,,,,,,,,,,,,1
FMC,Franklin and Marshall College,FMC,Lancaster,Lancaster,Pennsylvania,40.039722,-76.304444,1,,,,,,,1785,1785,,,,,,,,,,,,,,,,,,,1
FMC,Franklin and Marshall College,FMC,Reading,Berks,Pennsylvania,40.341667,-75.926389,0,,,,,,,1785,1785,,,,,,,,,,,,,,,,,,,1
FMC,Franklin and Marshall College,FMC,Lebanon,Lebanon,Pennsylvania,40.341667,-76.420833,0,,,,,,,1785,1785,,,,,,,,,,,,,,,,,,,1
FMC,Franklin and Marshall College,FMC,Manheim,Lancaster,Pennsylvania,40.1625,-76.396389,0,,,,,,,1785,1785,,,,,,,,,,,,,,,,,,,1
GettC,Gettysburg College,GettC,Gettysburg,Adams,Pennsylvania,39.828333,-77.232222,1,,1,,1,,,1826,1832,1826,,,,,,,,,,,,,7000,,,6,2,2
GettC,Gettysburg College,GettC,Hagerstown,Washington,Maryland,39.642778,-77.72,0,,1,,1,,,1826,1832,1826,,,,,,,,,,,,,6635,,,3,2,2
GettC,Gettysburg College,GettC,Carlisle,Cumberland,Pennsylvania,40.2025,-77.195,0,1,1,,1,,,1826,1832,1826,,,,,,,,,,,,,8000,,,,,1
PaSU1,Pennsylvania State University,PaSU,Happy Valley,Centre,Pennsylvania,40.791389,-77.858611,1,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,10000,,,,,2
PaSU1,Pennsylvania State University,PaSU,,Blair,Pennsylvania,40.47,-78.35,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,10000,,,,,2
PaSU1,Pennsylvania State University,PaSU,,Franklin,Pennsylvania,39.93,-77.72,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,,,,,,1
PaSU1,Pennsylvania State University,PaSU,,Huntingdon,Pennsylvania,40.41,-77.98,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,,,,,,1
PaSU1,Pennsylvania State University,PaSU,,Erie,Pennsylvania,42.1,-80.1,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,,,,,,1
PaSU1,Pennsylvania State University,PaSU,,Perry,Pennsylvania,40.4,-77.27,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,,,,,,1
PaSU1,Pennsylvania State University,PaSU,,Allegheny,Pennsylvania,40.47,-79.98,0,,,,1,,,1855,1855,1859,,1,1,1,,,,,,,,,,,,,,1
PaSU2,Pennsylvania State University,PaSU,Happy Valley,Centre,Pennsylvania,40.791389,-77.858611,1,1,1,1,,,,1865,1855,,,1,1,1,,,,,,,,,,,1,,,1
PaSU2,Pennsylvania State University,PaSU,Lewisburg,Union,Pennsylvania,40.963889,-76.888056,0,1,1,1,,,,1865,1846,,,1,1,1,,,,,,,,,,,1,,,1
PaSU2,Pennsylvania State University,PaSU,Meadville,Crawford,Pennsylvania,41.65,-80.15,0,1,1,1,,,,1865,1815,,,1,1,1,,,,,,,,,,,1,,,1
PaSU2,Pennsylvania State University,PaSU,Gettysburg,Adams,Pennsylvania,39.828333,-77.232222,0,1,1,1,,,,1865,1832,,,1,1,1,,,,,,,,,,,1,,,1
PaSU2,Pennsylvania State University,PaSU,Pittsburgh,Allegheny,Pennsylvania,40.439722,-79.976389,0,1,1,1,,,,1865,1787,,,1,1,1,,,,,,,,,,,1,,,1
PaSU2,Pennsylvania State University,PaSU,Philadelphia,Philadelphia,Pennsylvania,39.95,-75.166667,0,1,1,1,,,,1865,1853,,,1,1,1,,,,,,,,,,,1,,,1
WidenU,Widener University,WidenU,Chester,Delaware,Pennsylvania,39.847222,-75.372778,1,,,1,,,,1865,1821,,,,,,,,,,1,,,,,,,,,1
WidenU,Widener University,WidenU,West Chester,Chester,Pennsylvania,39.958611,-75.605,0,,,1,,,,1865,1821,,,,,,,,,,1,,,,,,,,,1
WidenU,Widener University,WidenU,Wilmington,New Castle,Delaware,39.745833,-75.546667,0,,,1,,,,1865,1821,,,,,,,,,,1,,,,,,,,,1
Brown1,Brown University,BrownU,Warren,Bristol,Rhode Island,41.726111,-71.270556,1,,,,,,1,1764,1764,1765,,,,,,,,,,,,,,,,,,1
Brown1,Brown University,BrownU,Providence,Providence,Rhode Island,41.823611,-71.422222,0,,,,,,1,1764,1764,1765,,,,,,,,,,,,,,,,,,1
Brown1,Brown University,BrownU,Newport,Newport,Rhode Island,41.488056,-71.3125,0,,,,,,1,1764,1764,1765,,,,,,,,,,,,,,,,,,1
Brown2,Brown University,BrownU,Providence,Providence,Rhode Island,41.823611,-71.422222,1,,,,1,,,1770,1764,1770,1769,,,,,,,,,,,,,,,21,1,2
Brown2,Brown University,BrownU,Newport,Newport,Rhode Island,41.488056,-71.3125,0,,,,1,,,1770,1764,1770,1769,,,,,,,,,,,,,,,14,1,2
Brown2,Brown University,BrownU,Bristol,Bristol,Rhode Island,41.684167,-71.268611,0,,,,1,,,1770,1764,1770,1769,,,,,,,,,,,,,,,,,1
Brown2,Brown University,BrownU,East Greenwhich,Kent,Rhode Island,41.65,-71.483333,0,,,,1,,,1770,1764,1770,1769,,,,,,,,,,,,,,,,,1
Brown2,Brown University,BrownU,Warren,Bristol,Rhode Island,41.726111,-71.270556,0,1,,,1,,,1770,1764,1770,1769,,,,,,,,,,,,,,,,,1
URI,University of Rhode Island,URI,Kingston,Washington,Rhode Island,41.483333,-71.533333,1,1,1,1,,,1,1894,1888,,,1,1,1,,,,,,1,Land Grant College,,138000,,,,,1
URI,University of Rhode Island,URI,Providence,Providence,Rhode Island,41.823611,-71.422222,0,1,1,1,,,1,1894,1888,,,1,1,1,,,,,,1,Monetary,,40000,,,,,1
ClemU,Clemson University,ClemU,Fort Hill,Pickens,South Carolina,34.677917,-82.838889,1,1,,,,,,1889,1889,1893,,1,,1,,,,,,,,,,,,17,4,2
ClemU,Clemson University,ClemU,Columbia,Richland,South Carolina,34.000556,-81.034722,0,1,,,,,,1889,1889,1893,,1,,1,,,,,,,,,,,,15,4,2
USC,University of South Carolina,USC,Columbia,Richland,South Carolina,34.000556,-81.034722,1,1,,,,,,1801,1801,1805,,1,1,,,,,,,,,,,,,,,1
USC,University of South Carolina,USC,Cambridge,Greenwood,South Carolina,,,0,1,,,,,,1801,1801,1805,,1,1,,,,,,,,,,,,,,,1
USC,University of South Carolina,USC,Winnsborough,Fairfield,South Carolina,34.376944,-81.088056,0,1,,,,,,1801,1801,1805,,1,1,,,,,,,,,,,,,,,1
USC,University of South Carolina,USC,Beaufort,Beaufort,South Carolina,32.433333,-80.683333,0,1,,,,,,1801,1801,1805,,1,1,,,,,,,,,,,,,,,1
USC,University of South Carolina,USC,Alexandria,Beaufort,South Carolina,,,0,1,,,,,,1801,1801,1805,,1,1,,,,,,,,,,,,,,,1
VoorC,Voorhees College,VoorC,Denmark,Bamberg,South Carolina,33.321111,-81.142222,1,,,1,1,,,1897,1897,1897,,,,,,,1,1,,,,,,,,,,1
VoorC,Voorhees College,VoorC,Govan,Bamberg,South Carolina,33.216667,-81.166667,0,,,1,1,,,1897,1897,1897,,,,,,,1,1,,,,,,,,,,1
VoorC,Voorhees College,VoorC,,Hampton,South Carolina,32.78,-81.14,0,,,1,1,,,1897,1897,1897,,,,,,,1,1,,,,,,,,,,1
SDSU,South Dakota State University,SDSU,Brookings,Brookings,South Dakota,44.306389,-96.788056,1,,1,,,,,1881,1881,1885,,1,,1,,,,,,1,Land Grant College,,,1600,,,,1
SDSU,South Dakota State University,SDSU,Sioux Falls,Minnehaha,South Dakota,43.536389,-96.731667,0,,1,,,,,1881,1881,1885,,1,,1,,,,,,1,Penitentiary,,,,,,,1
SDSMT,South Dakota School of Mines and Technology,SDSMT,Rapid City,Pennington,South Dakota,44.076,-103.228,1,,1,,,,,1885,1885,1887,,1,,,1,,,,,,,,,10000,,,,1
SDSMT,South Dakota School of Mines and Technology,SDSMT,Deadwood,Lawrence,South Dakota,44.376667,-103.729167,0,,1,,,,,1885,1885,1887,,1,,,1,,,,,,,,,,,,,1
SDSMT,South Dakota School of Mines and Technology,SDSMT,Keystone,Pennington,South Dakota,43.893611,-103.426111,0,,1,,,,,1885,1885,1887,,1,,,1,,,,,,,,,,,,,1
USD,University of South Dakota,USD,Vermillion,Clay,South Dakota,42.781111,-96.926944,1,,1,,,,,1862,1862,1882,,1,1,,,,,,,1,Public University,,,,,,,2
USD,University of South Dakota,USD,Yankton,Yankton,South Dakota,42.881667,-97.3925,0,,1,,,,,1862,1862,1882,,1,1,,,,,,,1,Capital,,,,,,,2
USD,University of South Dakota,USD,Bon Homme,Bon Homme,South Dakota,42.99,-97.88,0,,1,,,,,1862,1862,1882,,1,1,,,,,,,1,Penitentiary,,,,,,,2
MTnSU,Middle Tennessee State University,MTnSU,Murfreesboro,Rutherford,Tennessee,35.846111,-86.391944,1,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,180000,,,,2
MTnSU,Middle Tennessee State University,MTnSU,Clarksville,Montgomery,Tennessee,36,-87,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,185000,,,,2
MTnSU,Middle Tennessee State University,MTnSU,Columbia,Maury,Tennessee,35.615,-87.044444,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Cookeville,Putnam,Tennessee,36.164167,-85.504167,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Fayetteville,Lincoln,Tennessee,35.152778,-86.571389,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Monterey,Putnam,Tennessee,36.145278,-85.265833,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Shelbyville,Bedford,Tennessee,35.4888889,-86.452222,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Tullahoma,Coffee,Tennessee,35.368611,-86.213333,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Tullahoma,Franklin,Tennessee,35.368611,-86.213333,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
MTnSU,Middle Tennessee State University,MTnSU,Winchester,Franklin,Tennessee,35.188333,-86.1125,0,,,,1,,,1909,1909,1911,,1,,,,1,,,,,,,,,,,,1
TnSU,Tennessee State University,TnSU,Nashville,Davidson,Tennessee,36.166667,-86.783333,1,,,,1,,,1911,1911,1912,1911,1,,1,,,1,,,,,,,100000,,,,1
TnSU,Tennessee State University,TnSU,Chattanooga,Hamilton,Tennessee,35.045556,-85.267222,0,,,,1,,,1911,1911,1912,1911,1,,1,,,1,,,,,,,71000,,,,1
TnSU,Tennessee State University,TnSU,Memphis,Shelby,Tennessee,35.1175,-89.971111,0,,,,1,,,1911,1911,1912,1911,1,,1,,,1,,,,,,,,,,,1
UTn1,University of Tennessee,UTn,Knoxville,Knox,Tennessee,35.972778,-83.942222,1,1,1,1,,,,1807,1794,1795,,1,1,,,,,,,,,,,,,,,1
UTn1,University of Tennessee,UTn,Somerville,Fayette,Tennessee,35.2375,-89.358333,0,1,1,1,,,,1807,1794,1795,,1,1,,,,,,,,,,,,,,,1
UTn1,University of Tennessee,UTn,Limestone,Washington,Tennessee,36.228056,-82.630556,0,1,1,1,,,,1807,1794,1795,,1,1,,,,,,,,,,,,,,,1
UTn1,University of Tennessee,UTn,,Blount,Tennessee,35.69,-83.93,0,,1,1,,,,1807,1794,1795,,1,1,,,,,,,,,,,,,,,1
UTn1,University of Tennessee,UTn,,Hawkins,Tennessee,36.44,-82.95,0,,1,1,,,,1807,1794,1795,,1,1,,,,,,,,,,,,,,,1
UTn2,University of Tennessee,UTn,Knoxville,Knox,Tennessee,35.972778,-83.942222,1,1,1,,,,,1869,1794,1795,,1,1,1,,,,,,,,,,,,35,,2
UTn2,University of Tennessee,UTn,Murfreesboro,Rutherford,Tennessee,35.846111,-86.391944,0,1,1,,,,,1869,1794,1795,,1,1,1,,,,,,,,,,,,33,,2
UnionU,Union University,UnionU,Jackson,Madison,Tennessee,35.633056,-88.820833,1,,,,1,,,1874,1874,1874,,,,,,,,,,,,,,,,,,1
UnionU,Union University,UnionU,Murfreesboro,Rutherford,Tennessee,35.846111,-86.391944,0,,,,1,,,1874,1874,1874,,,,,,,,,,,,,,,,,,1
UnionU,Union University,UnionU,Chattanooga,Hamilton,Tennessee,35.045556,-85.267222,0,,,,1,,,1874,1874,1874,,,,,,,,,,,,,,,,,,1
UnionU,Union University,UnionU,McMinnville,Warren,Tennessee,35.686667,-85.779444,0,,,,1,,,1874,1874,1874,,,,,,,,,,,,,,,,,,1
UnionU,Union University,UnionU,Nashville,Davidson,Tennessee,36.166667,-86.783333,0,,,,1,,,1874,1874,1874,,,,,,,,,,,,,,,,,,1
VandU,Vanderbilt University,VandU,Nashville,Davidson,Tennessee,36.166667,-86.783333,1,,,,,,1,1873,1873,1875,,,,,,,,,,,,,,,,,,1
VandU,Vanderbilt University,VandU,Staten Island,Richmond,New York,40.576281,-74.144839,0,,,,,,1,1873,1873,1875,,,,,,,,,,,,,,,,,,1
BaylU,Baylor University,BaylU,Waco,McLennan,Texas,31.551389,-97.155833,1,1,,1,,,,1885,1845,1846,,,,,,,,,,,,,,,,,,1
BaylU,Baylor University,BaylU,Independence,Washington,Texas,30.319444,-96.346667,0,1,,1,,,,1885,1861,1846,,,,,,,,,,,,,,,,,,1
DaBapU,Dallas Baptist University,DaBapU,Dallas,Dallas,Texas,32.775833,-96.796667,1,,,,,,1,1963,1898,1965,,,,,,,,,,,,,,,,,,1
DaBapU,Dallas Baptist University,DaBapU,San Antonio,Bexar,Texas,29.416667,-98.5,0,,,,,,1,1963,1898,1965,,,,,,,,,,,,,,,,,,1
DaBapU,Dallas Baptist University,DaBapU,Houston,Harris,Texas,29.762778,-95.383056,0,,,,,,1,1963,1898,1965,,,,,,,,,,,,,,,,,,1
DaBapU,Dallas Baptist University,DaBapU,Fort Worth,Tarrant,Texas,32.757358,-97.333181,0,,,,,,1,1963,1898,1965,,,,,,,,,,,,,,,,,,1
DaBapU,Dallas Baptist University,DaBapU,Decatur,Wise,Texas,33.227778,-97.59,0,,,,,,1,1963,1898,1965,,,,,,,,,,,,,,,,,,1
RiceU,Rice University,RiceU,Houston,Harris,Texas,29.762778,-95.383056,1,,,,,,1,1891,1891,1912,,,,,,,,,,,,,,,,,,1
RiceU,Rice University,RiceU,Dunellen,Middlesex,New Jersey,40.590231,-74.465595,0,,,,,,1,1891,1891,1912,,,,,,,,,,,,,,,,,,1
SMU,Southern Methodist University,SMU,Dallas,Dallas,Texas,32.775833,-96.796667,1,,,,1,,,1911,1911,1915,,,,,,,,,,,,,,300000,,14,,2
SMU,Southern Methodist University,SMU,Fort Worth,Tarrant,Texas,32.757358,-97.333181,0,1,,,1,,,1911,1911,1915,,,,,,,,,,,,,,500000,,4,,2
SMU,Southern Methodist University,SMU,Georgetown,Williamson,Texas,30.651111,-97.681389,0,1,,,1,,,1911,1911,1915,,,,,,,,,,,,,,,,,,1
TxAMU,Texas A&M University,TxAMU,Bryan,Brazos,Texas,30.665556,-96.366667,1,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,2
TxAMU,Texas A&M University,TxAMU,Bellville,Austin,Texas,29.947222,-96.258611,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,2
TxAMU,Texas A&M University,TxAMU,Kellum Springs,Grimes,Texas,30.6263,-96.0091,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,2
TxAMU,Texas A&M University,TxAMU,Piedmont Springs,Grimes,Texas,30.5252,-96.1086,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,2
TxAMU,Texas A&M University,TxAMU,San Antonio,Bexar,Texas,29.416667,-98.5,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,1
TxAMU,Texas A&M University,TxAMU,Austin,Travis,Texas,30.266667,-97.733333,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,1
TxAMU,Texas A&M University,TxAMU,Waco,McLennan,Texas,31.551389,-97.155833,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,1
TxAMU,Texas A&M University,TxAMU,San Marcos,Hays,Texas,29.879444,-97.938889,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,1
TxAMU,Texas A&M University,TxAMU,Tehuacana Hills,Limestone,Texas,31.7421,-96.5525,0,,1,,1,,,1871,1871,1876,,1,,1,,,,,,,,,,,,,,1
TxCU,Texas Christian University,TxCU,Forth Worth,Tarrant,Texas,32.757358,-97.333181,1,,,,1,,,1910,1869,1911,,,,,,,,,,,,,,250000,,,,2
TxCU,Texas Christian University,TxCU,Dallas,Dallas,Texas,32.775833,-96.796667,0,1,,,1,,,1910,1869,1911,,,,,,,,,,,,,,,,,,2
TxCU,Texas Christian University,TxCU,Waco,McLennan,Texas,31.551389,-97.155833,0,1,,,1,,,1910,1869,1911,,,,,,,,,,,,,,,,,,1
TxT,Texas Tech,TxT,Lubbock,Lubbock,Texas,33.566667,-101.883333,1,,1,,,,,1923,1923,1925,,1,,,1,,,,,,,,150000,234000,,,,2
