Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
SUNYES,SUNY College of Environmental Science and Forestry,SUNYES,Ithaca,Tompkins,New York,42.443333,-76.5,0,,,1,,,,1912,1911,1911,,1,,,1,,,,,,,,,,,,,1
DukeU,Duke University,DukeU,Durham,Durham,North Carolina,35.988611,-78.907222,1,,,,1,,,1890,1839,1892,,,,,,,,,,,,,,85000,,,,1
DukeU,Duke University,DukeU,Raleigh,Wake,North Carolina,35.766667,-78.633333,0,,,,1,,,1890,1839,1892,,,,,,,,,,,,,,20500,,,,1
ENCU,East Carolina University,ENCU,Greenville,Pitt,North Carolina,35.601667,-77.3725,1,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,100000,,4,3,2
ENCU,East Carolina University,ENCU,Kinston,Lenoir,North Carolina,35.270556,-77.585,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,25000,1,2,3,2
ENCU,East Carolina University,ENCU,Washington,Beaufort,North Carolina,35.553611,-77.051944,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,95000,,,,2
ENCU,East Carolina University,ENCU,Rocky Mount,Edgecombe,North Carolina,35.938333,-77.790556,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,25000,,,3,2
ENCU,East Carolina University,ENCU,Rocky Mount,Nash,North Carolina,35.938333,-77.790556,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,25000,,,3,1
ENCU,East Carolina University,ENCU,Elizabeth City,Pasquotank,North Carolina,36.295556,-76.225,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,62000,,,,1
ENCU,East Carolina University,ENCU,Tarboro,Edgecombe,North Carolina,35.902778,-77.545833,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,30000,,,,1
ENCU,East Carolina University,ENCU,New Bern,Craven,North Carolina,35.109167,-77.069167,0,,,,1,,,1907,1907,1909,,1,,,1,,,,,,,,,25000,,,,1
HPU,High Point University,HPU,High Point,Guilford,North Carolina,35.970556,-79.9975,1,,,,1,,,1921,1920,1924,,,,,,,,,,,,,,100000,,,,2
HPU,High Point University,HPU,Greensboro,Guilford,North Carolina,36.08,-79.819444,0,,,,1,,,1921,1920,1924,,,,,,,,,,,,,,100000,,,,2
HPU,High Point University,HPU,Burlington,Alamance,North Carolina,36.089722,-79.445556,0,,,,1,,,1921,1920,1924,,,,,,,,,,,,,,100000,,,,2
NCAT,North Carolina A&T University,NCAT,Greensboro,Guilford,North Carolina,36.08,-79.819444,1,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,11000,,,,2
NCAT,North Carolina A&T University,NCAT,Mebane,Alamance,North Carolina,36.095833,-79.270833,0,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,,,,,2
NCAT,North Carolina A&T University,NCAT,Durham,Durham,North Carolina,35.988611,-78.907222,0,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,,,,,2
NCAT,North Carolina A&T University,NCAT,Winston,Forsyth,North Carolina,36.104,-80.2544,0,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,,,,,2
NCAT,North Carolina A&T University,NCAT,Wilmington,New Hanover,North Carolina,34.223333,-77.912222,0,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,,,,,2
NCAT,North Carolina A&T University,NCAT,Raleigh,Wake,North Carolina,35.766667,-78.633333,0,1,1,,1,,,1892,1891,,,1,,1,,,1,,,,,,,,,,,1
NCSU,North Carolina State University,NCSU,Raleigh,Wake,North Carolina,35.766667,-78.633333,1,,1,,,,,1886,1886,1889,,1,,1,,,,,,,,,,8000,1,,,2
NCSU,North Carolina State University,NCSU,Charlotte,Mecklenburg,North Carolina,35.226944,-80.843333,0,,1,,,,,1886,1886,1889,,1,,1,,,,,,,,,,5000,,,,2
NCSU,North Carolina State University,NCSU,Kinston,Lenoir,North Carolina,35.270556,-77.585,0,,1,,,,,1886,1886,1889,,1,,1,,,,,,,,,,10000,,,,2
UNC,University of North Carolina,UNC,Chapel Hill,Chatham,North Carolina,35.913139,-79.055806,1,,1,,,,,1792,1792,1795,,1,1,,,,,,,,,,,,,,,1
