City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Pine Mountain Club,57872,California,1.1,4.1,4.9,4.1,12.7,3.4,11.0,10.2,21.4,11.0,10.3,6.7,3.2,1890
Catheys Valley,57813,California,2.6,3.4,2.9,3.4,0.7,3.3,12.5,2.7,12.5,28.7,20.3,8.9,1.5,878
Pinon Hills,57723,California,4.3,5.5,3.9,5.5,5.4,6.3,7.6,13.1,19.9,17.0,8.9,5.5,2.6,6654
Chualar,57679,California,5.1,9.9,9.5,9.9,7.6,10.0,17.5,11.8,13.8,8.1,4.7,1.4,0.6,1255
Shandon,57639,California,7.2,12.9,4.5,12.9,4.9,5.1,22.8,16.3,7.3,12.7,4.8,1.4,0.3,1323
Buckhorn,57595,California,3.7,3.0,3.6,3.0,2.6,2.7,10.6,7.0,12.5,14.1,22.8,11.6,5.8,2503
Bella Vista,57586,California,9.3,3.4,3.8,3.4,6.3,6.6,8.8,8.2,21.8,14.5,12.7,2.9,1.9,2717
Highland,57517,California,7.0,9.0,9.6,9.0,8.5,8.1,12.2,13.7,13.6,10.1,4.9,2.4,0.9,54032
Hickman,57500,California,4.0,10.0,6.1,10.0,7.9,5.2,10.4,12.3,21.3,7.5,9.6,4.4,1.3,479
Pollock Pines,57396,California,5.7,3.8,4.0,3.8,5.1,6.2,12.1,7.3,19.8,18.6,10.5,5.0,2.0,6540
Tehachapi,57389,California,6.7,4.2,4.9,4.2,6.4,4.9,21.2,21.0,14.1,7.8,5.3,2.9,0.7,13818
South Monrovia Island,57329,California,6.3,6.9,6.3,6.9,6.8,6.9,13.9,16.6,12.7,12.8,7.0,2.2,1.5,6929
Westminster,57262,California,5.3,5.3,6.8,5.3,6.7,7.2,12.8,13.3,14.8,12.2,8.2,5.5,1.9,91255
Mountain Ranch,57243,California,3.5,3.0,2.2,3.0,9.9,2.5,1.4,8.4,19.8,26.4,15.9,6.4,0.6,1369
Sacramento,57200,California,7.1,6.9,6.3,6.9,6.7,8.2,16.8,13.0,12.7,11.0,6.1,3.6,1.8,476075
Wrightwood,57139,California,7.8,8.2,7.2,8.2,7.5,3.5,11.8,12.8,16.7,11.6,11.6,0.9,0.3,4452
Azusa,57131,California,6.2,7.0,7.1,7.0,12.0,12.6,14.3,13.2,11.1,8.5,4.7,2.3,1.0,47420
Alhambra,57056,California,5.0,4.9,4.8,4.9,5.7,7.4,15.8,13.2,15.5,12.7,7.9,4.5,2.6,84400
Lemon Grove,57052,California,6.5,6.7,7.6,6.7,8.2,6.5,13.5,13.5,13.5,12.8,5.8,3.3,2.2,25963
Hughson,57042,California,7.5,7.8,9.6,7.8,8.5,7.9,9.2,13.9,13.8,9.5,4.6,5.0,2.7,6895
Taft,56886,California,6.4,5.0,5.6,5.0,6.8,7.8,16.6,17.3,13.7,11.3,4.5,4.6,0.3,9063
Lemoore,56775,California,10.3,8.6,6.9,8.6,7.3,9.9,16.2,13.8,11.3,8.2,4.5,2.3,0.8,24788
Visalia,56766,California,8.6,7.8,7.9,7.8,8.3,7.0,14.5,13.1,12.3,9.5,6.4,3.1,1.6,126942
Avalon,56765,California,8.6,6.5,9.1,6.5,6.2,7.6,13.6,15.8,11.6,10.7,6.9,1.7,1.7,3768
Yuba City,56734,California,7.4,8.3,6.3,8.3,7.7,7.7,14.3,12.5,12.5,10.5,7.0,4.3,1.7,65141
East Quincy,56667,California,6.8,5.4,6.0,5.4,4.8,8.3,13.9,6.2,16.6,14.6,8.1,6.8,2.5,2633
Mountain View Acres,56521,California,3.9,6.5,7.2,6.5,8.4,5.4,11.2,17.7,17.9,11.9,6.9,2.6,0.3,3502
Redding,56506,California,6.0,6.9,5.9,6.9,6.6,7.5,13.5,11.2,12.2,12.7,9.0,5.7,2.8,90725
San Fernando,56482,California,6.9,8.1,8.5,8.1,7.7,8.0,16.2,15.5,11.0,9.5,5.7,1.7,1.3,24050
South San Jose Hills,56408,California,8.0,8.0,7.4,8.0,8.8,10.2,14.8,12.9,11.7,8.5,5.9,2.7,1.1,21012
Pine Hills,56406,California,5.4,4.1,8.6,4.1,6.2,4.6,8.0,14.9,12.9,13.9,14.1,5.9,1.5,3160
Palmdale,56351,California,8.6,8.7,9.0,8.7,9.6,8.2,12.5,13.0,14.2,8.6,4.4,2.3,0.8,155810
Boyes Hot Springs,56331,California,6.3,9.6,10.4,9.6,4.5,6.0,19.8,12.2,9.8,9.9,7.6,2.6,1.4,7664
Graton,56250,California,3.1,3.1,4.4,3.1,8.9,4.7,8.6,13.0,19.0,19.1,11.9,3.0,1.2,1626
Williams,56232,California,9.5,7.4,7.2,7.4,8.6,8.3,14.1,14.8,11.7,9.7,4.9,3.2,0.7,5166
Paradise,56119,California,4.0,3.9,5.4,3.9,5.0,7.6,9.7,9.4,13.1,17.6,11.4,8.2,4.8,26246
Plymouth,56042,California,6.8,7.7,6.8,7.7,8.4,4.6,10.7,10.2,20.2,10.2,8.8,5.2,0.4,1185
Fallbrook,56025,California,7.5,5.7,6.7,5.7,6.4,9.2,14.9,9.9,12.1,12.8,7.5,4.7,2.8,31435
Ontario,56017,California,7.1,8.1,7.9,8.1,8.6,8.6,15.2,14.6,13.0,9.3,4.3,2.5,0.8,166892
Maxwell,55833,California,13.9,9.3,7.0,9.3,4.2,9.2,13.9,10.7,11.1,7.7,4.1,4.9,4.2,1076
Montebello,55720,California,7.6,5.4,5.7,5.4,6.3,7.9,15.4,12.7,12.7,11.4,7.4,5.2,2.3,63353
Roseland,55677,California,8.0,5.1,5.8,5.1,9.7,11.7,13.2,14.0,13.2,12.0,4.8,1.1,1.5,5556
Junction City,55625,California,5.7,5.7,6.6,5.7,4.1,2.7,10.2,7.7,19.2,20.7,10.7,4.4,2.4,920
Palermo,55612,California,4.3,10.2,5.0,10.2,5.0,3.9,11.7,10.3,15.1,16.3,9.1,7.0,2.0,5419
Hilmar-Irwin,55500,California,9.3,5.4,5.5,5.4,7.4,6.2,13.0,13.1,11.2,11.1,7.2,9.8,1.0,5266
Green Acres,55444,California,12.3,8.1,7.6,8.1,4.9,9.3,12.2,11.1,15.1,7.7,8.0,2.2,1.5,2330
Alturas,55363,California,5.5,4.0,10.0,4.0,5.8,6.2,10.4,10.4,22.2,8.1,10.6,5.5,1.4,2714
Palm Springs,55320,California,3.2,3.4,3.0,3.4,4.7,4.1,9.1,10.4,16.6,18.3,14.4,8.6,4.2,45827
Modesto,55289,California,7.2,6.7,7.5,6.7,7.2,7.8,14.2,12.3,13.3,11.5,6.6,3.9,1.9,205984
Moreno Valley,55265,California,7.9,8.6,8.5,8.6,9.4,8.8,14.4,13.5,12.1,9.7,4.4,2.0,0.7,198872
La Puente,55150,California,8.7,7.6,7.8,7.6,7.9,7.6,15.1,15.0,12.4,8.5,5.2,3.3,0.9,40342
Rio Linda,55063,California,7.4,6.7,6.7,6.7,8.6,5.6,11.8,12.2,16.8,12.5,6.4,4.5,0.9,14581
Lancaster,54993,California,8.0,7.7,8.3,7.7,8.5,7.2,14.2,13.4,13.4,10.3,5.3,2.7,1.1,159092
Port Hueneme,54966,California,8.6,6.9,6.0,6.9,8.0,9.2,16.2,10.9,11.9,10.7,6.6,3.4,1.7,21949
Grover Beach,54955,California,4.7,7.2,7.4,7.2,5.7,6.2,15.0,15.4,15.6,10.4,6.9,3.8,1.8,13337
Lodi,54740,California,7.2,7.6,8.5,7.6,7.6,7.4,11.9,12.0,13.3,10.5,7.0,4.5,2.4,63158
Humboldt Hill,54657,California,5.2,5.2,2.9,5.2,10.0,9.5,11.9,8.0,10.8,19.7,10.5,5.4,0.9,3704
Indio,54656,California,7.9,8.1,8.7,8.1,7.6,6.6,13.8,13.0,11.1,9.6,8.5,3.9,1.3,82539
Apple Valley,54646,California,6.5,6.3,7.5,6.3,7.3,7.8,12.1,10.3,13.4,12.5,9.1,5.1,2.1,70561
Imperial Beach,54639,California,7.7,8.3,7.2,8.3,8.2,8.7,17.4,10.5,12.9,10.5,4.3,2.7,1.8,26857
Fort Bragg,54615,California,8.7,4.8,7.6,4.8,6.2,6.0,11.5,13.9,13.1,10.7,8.3,6.1,3.0,7274
Montague,54545,California,6.1,7.5,5.7,7.5,8.3,9.3,13.0,14.1,13.0,10.4,7.9,3.3,1.4,1504
Lakeview,54426,California,7.5,8.2,4.5,8.2,7.8,12.5,14.9,14.1,9.1,10.0,5.7,3.4,2.2,1723
Gardena,54331,California,6.3,5.8,6.7,5.8,6.3,6.1,14.2,12.7,14.4,11.9,7.0,6.0,2.6,59682
Los Angeles,54171,California,6.5,6.0,5.9,6.0,6.8,8.3,17.1,14.8,13.3,10.4,5.9,3.4,1.6,3862210
Descanso,54167,California,5.5,7.9,8.3,7.9,1.9,4.2,7.1,10.3,14.6,13.2,20.3,5.7,1.1,1305
Westwood,54135,California,4.8,7.2,7.2,7.2,6.4,8.4,10.9,12.1,17.0,12.7,7.6,4.9,0.8,1509
Lower Lake,54028,California,2.9,4.3,6.7,4.3,1.0,7.9,10.3,7.7,29.8,13.8,9.7,5.0,1.1,1620
Escondido,53983,California,8.0,6.8,7.1,6.8,7.6,8.1,16.3,13.8,12.4,9.7,5.0,3.4,2.0,147603
Seaside,53926,California,8.7,7.7,6.7,7.7,7.9,8.0,16.5,16.1,11.3,8.4,4.8,2.9,1.1,33729
Yucca Valley,53767,California,6.7,7.6,7.0,7.6,6.6,5.1,13.3,12.0,12.2,11.2,9.4,5.8,3.0,21083
Coalinga,53750,California,7.7,7.0,6.2,7.0,8.1,9.0,16.3,14.4,15.1,8.8,4.2,2.4,0.7,17235
Loleta,53750,California,1.2,1.2,3.6,1.2,11.4,0.9,11.5,16.8,21.0,17.6,9.1,3.6,2.1,661
Mountain Gate,53750,California,3.6,4.2,2.5,4.2,9.0,3.6,8.0,11.4,29.5,10.7,10.6,4.1,2.9,1153
Crestline,53552,California,6.2,5.0,6.5,5.0,6.5,3.8,11.4,10.4,15.4,16.3,11.7,5.6,1.2,9437
Vista,53505,California,6.5,6.6,6.4,6.6,6.0,9.2,18.0,14.3,13.1,10.0,5.1,3.1,1.8,96181
Tahoma,53438,California,3.4,7.0,7.2,7.0,4.3,7.4,12.3,7.8,18.1,24.1,4.3,1.5,2.6,959
North Edwards,53241,California,10.5,9.4,4.5,9.4,3.1,9.9,11.8,14.2,10.8,11.8,6.6,5.0,2.5,966
Cressey,53214,California,2.5,1.9,7.1,1.9,5.0,11.5,15.5,12.7,12.1,12.7,12.1,4.0,2.8,322
North Fair Oaks,53176,California,7.6,7.1,7.2,7.1,7.5,5.4,21.3,15.2,12.7,8.6,4.8,2.1,0.5,15181
Ukiah,53145,California,7.7,6.6,6.9,6.6,8.0,7.2,12.2,11.3,13.1,11.0,9.7,4.0,2.3,15956
East Palo Alto,53094,California,8.6,8.3,7.4,8.3,8.4,10.5,18.7,13.2,11.4,8.1,3.2,1.7,0.7,28920
Pacheco,53083,California,3.5,4.8,4.1,4.8,4.7,7.0,15.7,11.0,20.3,14.9,8.4,4.1,1.6,4295
Bellflower,53023,California,7.2,7.4,8.4,7.4,7.9,8.0,14.8,13.6,13.0,10.5,5.3,2.8,1.2,77521
Freedom,52885,California,10.2,8.9,4.6,8.9,6.7,9.2,18.6,10.4,12.2,9.9,3.7,4.4,1.2,3205
South Lake Tahoe,52885,California,5.9,5.6,4.8,5.6,6.0,8.2,14.4,14.1,15.3,14.0,7.3,3.5,1.0,21394
Butte Valley,52813,California,2.7,12.8,8.1,12.8,1.0,1.5,7.1,8.8,9.6,34.2,8.8,3.0,2.5,603
Weaverville,52712,California,5.0,4.5,7.8,4.5,5.3,3.3,12.1,10.3,11.8,19.4,7.4,9.0,4.3,3294
Rialto,52595,California,8.6,8.3,9.6,8.3,9.4,9.0,13.5,13.6,11.8,8.5,4.6,2.5,0.7,101367
Santa Maria,52515,California,8.8,8.9,8.6,8.9,7.7,8.8,16.2,12.5,11.6,7.6,4.6,3.1,1.6,101468
Berry Creek,52188,California,4.3,2.2,5.5,2.2,3.6,1.7,11.5,12.3,11.8,24.6,17.1,4.0,1.4,1292
San Jacinto,52111,California,9.4,7.7,8.5,7.7,7.5,8.2,13.1,13.6,11.5,8.8,6.2,3.6,1.8,45497
Castroville,52069,California,11.1,9.7,9.0,9.7,6.2,9.8,17.9,10.3,11.0,8.6,4.0,1.4,1.0,6226
Amesti,52031,California,6.6,8.4,9.3,8.4,9.5,5.7,14.1,8.6,14.4,10.7,7.8,3.6,1.0,3213
Columbia,52029,California,6.3,4.5,1.7,4.5,11.0,5.5,4.4,12.7,10.8,19.9,15.0,5.5,2.7,2456
Nevada City,51997,California,2.7,8.0,3.3,8.0,6.2,4.0,12.3,9.9,15.3,20.5,12.5,4.2,1.3,3051
Livingston,51912,California,8.2,9.7,8.1,9.7,10.0,10.0,13.2,10.8,12.6,8.4,4.7,3.5,0.7,13461
Industry,51890,California,5.7,22.1,3.1,22.1,5.2,3.1,1.6,32.8,5.7,10.4,3.1,6.3,0.8,384
Midway City,51882,California,2.3,7.1,6.3,7.1,6.0,10.5,15.8,13.0,14.4,11.8,6.4,4.6,1.8,9104
Baldwin Park,51599,California,6.8,6.8,7.8,6.8,8.7,9.2,15.0,13.5,13.1,10.1,5.4,2.6,1.1,76411
Salinas,51426,California,9.4,9.3,7.9,9.3,8.4,7.7,16.4,14.1,11.2,8.2,4.1,2.3,1.1,154077
Brooktrails,51250,California,11.7,9.9,6.9,9.9,4.8,2.7,15.6,15.3,11.0,11.5,7.7,1.5,1.4,3589
Fort Jones,51250,California,11.9,6.0,7.7,6.0,9.2,4.8,7.9,17.9,9.1,16.3,5.2,2.4,1.7,848
Rollingwood,51250,California,8.5,10.0,7.3,10.0,6.5,6.7,17.2,17.4,6.2,9.2,5.4,4.0,1.6,2832
Fortuna,51213,California,6.5,7.0,7.2,7.0,8.1,6.6,10.0,12.6,13.3,12.2,8.3,4.8,3.4,11863
Lompoc,51195,California,8.8,7.6,6.7,7.6,6.9,8.8,14.9,13.2,13.1,10.5,5.3,2.9,1.3,43045
Montclair,51184,California,7.6,6.8,7.0,6.8,7.6,9.3,14.5,13.5,13.0,10.4,6.4,2.8,1.2,37685
Manila,51094,California,3.7,3.7,0.9,3.7,2.7,8.6,19.8,13.1,13.1,24.2,6.2,1.0,3.0,673
Home Gardens,51076,California,7.5,7.6,10.0,7.6,10.0,6.0,13.9,16.2,14.7,8.4,3.6,1.5,0.7,11701
Commerce,50948,California,6.1,7.3,6.7,7.3,9.5,7.7,13.5,13.7,12.1,10.9,6.8,3.4,2.2,12975
Mccloud,50888,California,0.5,5.2,7.7,5.2,4.1,2.6,7.5,8.2,16.6,19.1,15.8,6.0,6.7,1111
South Dos Palos,50865,California,6.9,7.0,10.4,7.0,9.8,10.6,12.3,8.6,16.3,10.1,5.0,1.2,1.9,2464
Eureka,50807,California,5.4,5.1,4.7,5.1,6.0,10.6,17.3,9.7,13.1,14.6,7.4,4.4,1.6,27039
Tulare,50690,California,9.2,9.4,9.2,9.4,7.3,8.1,14.6,12.8,11.2,9.6,5.1,2.5,1.2,60663
Greenfield CDP,50625,California,7.9,8.5,7.4,8.5,8.7,6.8,12.5,11.5,15.3,11.2,6.8,3.3,0.4,3974
Victorville,50608,California,8.5,9.4,9.8,9.4,9.0,7.3,14.8,13.5,11.2,8.2,5.2,2.4,0.7,119603
Cherryland,50537,California,10.1,8.9,5.5,8.9,5.4,7.2,15.7,13.9,15.4,9.8,4.1,2.5,1.7,15244
Colusa,50515,California,8.6,8.3,7.0,8.3,6.8,6.9,14.3,11.5,13.9,10.4,6.3,5.2,0.7,5962
Lawndale,50507,California,8.5,7.6,8.0,7.6,6.9,7.8,14.8,16.7,14.1,8.5,4.2,2.0,1.0,33155
